"loinc.part","part.name","labeled.paths","plus","period","obo_id","domain","ontology.priority","ols.search.rank","obo label","loinc.vs.label.cosine","best.match","best.cosine","iri","ontology_prefix","short_form","ontology_name","bp.onto.iri"
"LP13938-3","dog dander","Lab -> ALLERGY -> NA -> NA -> Dog -> Dog dander+Dog epithelium",FALSE,FALSE,"FOODON:03302024","food",8,60,"beef dog food (canned)",0.222182540694798,"beef dog food (canned)",0.222182540694798,"http://purl.obolibrary.org/obo/FOODON_03302024","FOODON","FOODON_03302024","foodon","http://data.bioontology.org/ontologies/FOODON"
"LP13939-1","horse dander","Lab -> ALLERGY -> NA -> NA -> Horse",FALSE,FALSE,"DRON:00018468","chemicals/drugs",12,1,"allergenic extract, horse dander",0.161257863170674,"allergenic extract, horse dander",0.161257863170674,"http://purl.obolibrary.org/obo/DRON_00018468","DRON","DRON_00018468","dron","http://data.bioontology.org/ontologies/DRON"
"LP13941-7","egg white","Lab -> ALLERGY -> NA -> Fowl -> Egg",FALSE,FALSE,"UBERON:0008944","anatomy",1,1,"albumen",0.790343032655616,"egg white",0,"http://purl.obolibrary.org/obo/UBERON_0008944","UBERON","UBERON_0008944","uberon","http://data.bioontology.org/ontologies/UBERON"
"LP13941-7","egg white","Lab -> ALLERGY -> NA -> Fowl -> Egg",FALSE,FALSE,"FOODON:03310225","food",8,10,"hen egg white (fried)",0.131756857875541,"hen egg white (fried)",0.131756857875541,"http://purl.obolibrary.org/obo/FOODON_03310225","FOODON","FOODON_03310225","foodon","http://data.bioontology.org/ontologies/FOODON"
"LP13941-7","egg white","Lab -> ALLERGY -> NA -> Fowl -> Egg",FALSE,FALSE,"FOODON:03304840","food",8,12,"hen egg white food product",0.27164295927077,"egg white",0,"http://purl.obolibrary.org/obo/FOODON_03304840","FOODON","FOODON_03304840","foodon","http://data.bioontology.org/ontologies/FOODON"
"LP13961-5","(chicken feather+duck feather+goose feather+parrot feather)","Lab -> ALLERGY -> NA -> NA",TRUE,FALSE,"DRON:00019580","chemicals/drugs",12,2,"goose feather extract",0.0895687580947558,"goose feather extract",0.0895687580947558,"http://purl.obolibrary.org/obo/DRON_00019580","DRON","DRON_00019580","dron","http://data.bioontology.org/ontologies/DRON"
"LP13961-5","(chicken feather+duck feather+goose feather+parrot feather)","Lab -> ALLERGY -> NA -> NA",TRUE,FALSE,"NCBITaxon:1499518","organisms",7,105,"antillogorgia bipinnata",0.573783859865012,"forked sea feather",0.0839090575488755,"http://purl.obolibrary.org/obo/NCBITaxon_1499518","NCBITAXON","NCBITaxon_1499518","ncbitaxon","http://data.bioontology.org/ontologies/NCBITAXON"
"LP13962-3","chicken feather","Lab -> ALLERGY -> NA -> Fowl -> Chicken",FALSE,FALSE,"DRON:00019583","chemicals/drugs",12,1,"chicken feather extract",0.0561201925514611,"chicken feather extract",0.0561201925514611,"http://purl.obolibrary.org/obo/DRON_00019583","DRON","DRON_00019583","dron","http://data.bioontology.org/ontologies/DRON"
"LP13964-9","goose feather","Lab -> ALLERGY -> NA -> Fowl -> Goose",FALSE,FALSE,"DRON:00019580","chemicals/drugs",12,1,"goose feather extract",0.0769198295851159,"goose feather extract",0.0769198295851159,"http://purl.obolibrary.org/obo/DRON_00019580","DRON","DRON_00019580","dron","http://data.bioontology.org/ontologies/DRON"
"LP13970-6","juniperus sabinoides","Lab -> ALLERGY -> NA -> NA",FALSE,FALSE,"NCBITaxon:321545","organisms",7,17,"juniperus pseudosabina",0.046223823313189,"juniperus pseudosabina",0.046223823313189,"http://purl.obolibrary.org/obo/NCBITaxon_321545","NCBITAXON","NCBITaxon_321545","ncbitaxon","http://data.bioontology.org/ontologies/NCBITAXON"
"LP13973-0","platanus acerifolia","Lab -> ALLERGY -> NA -> NA",FALSE,FALSE,"NCBITaxon:418249","organisms",7,29,"ainsliaea apiculata var. acerifolia",0.045467127372709,"ainsliaea apiculata var. acerifolia",0.045467127372709,"http://purl.obolibrary.org/obo/NCBITaxon_418249","NCBITAXON","NCBITaxon_418249","ncbitaxon","http://data.bioontology.org/ontologies/NCBITAXON"
"LP13973-0","platanus acerifolia","Lab -> ALLERGY -> NA -> NA",FALSE,FALSE,"NCBITaxon:140101","organisms",7,33,"platanus x hispanica",0.139293123920453,"platanus acerifolia",0,"http://purl.obolibrary.org/obo/NCBITaxon_140101","NCBITAXON","NCBITaxon_140101","ncbitaxon","http://data.bioontology.org/ontologies/NCBITAXON"
"LP13991-2","pigeon dropping","Lab -> ALLERGY -> NA -> Fowl -> Pigeon",FALSE,FALSE,"PR:Q24118","proteins/genes",5,9,"protein pigeon (fruit fly)",0.253212006194323,"pigeon",0.0902823477053158,"http://purl.obolibrary.org/obo/PR_Q24118","PR","PR_Q24118","pr","http://data.bioontology.org/ontologies/PR"
"LP13991-2","pigeon dropping","Lab -> ALLERGY -> NA -> Fowl -> Pigeon",FALSE,FALSE,"PR:000012739","proteins/genes",5,2,"protein pigeon",0.0902823477053158,"protein pigeon",0.0902823477053158,"http://purl.obolibrary.org/obo/PR_000012739","PR","PR_000012739","pr","http://data.bioontology.org/ontologies/PR"
"LP13991-2","pigeon dropping","Lab -> ALLERGY -> NA -> Fowl -> Pigeon",FALSE,FALSE,"FOODON:03411304","food",8,1,"pigeon",0.0902823477053158,"pigeon",0.0902823477053158,"http://purl.obolibrary.org/obo/FOODON_03411304","FOODON","FOODON_03411304","foodon","http://data.bioontology.org/ontologies/FOODON"
"LP13993-8","blatella germanica","Lab -> ALLERGY -> NA -> NA",FALSE,FALSE,"NCBITaxon:6973","organisms",7,25,"blattella germanica",0.0119455457206269,"blattella germanica",0.0119455457206269,"http://purl.obolibrary.org/obo/NCBITaxon_6973","NCBITAXON","NCBITaxon_6973","ncbitaxon","http://data.bioontology.org/ontologies/NCBITAXON"
"LP14022-5","beta-n-acetylhexosaminidase","Lab -> Chemistry and Chemistry challenge -> CHEM -> NA",FALSE,FALSE,"GO:1905379","go",16,2,"beta-n-acetylhexosaminidase complex",0.0391103927169436,"beta-n-acetylhexosaminidase complex",0.0391103927169436,"http://purl.obolibrary.org/obo/GO_1905379","GO","GO_1905379","go","http://data.bioontology.org/ontologies/GO"
"LP14022-5","beta-n-acetylhexosaminidase","Lab -> Chemistry and Chemistry challenge -> CHEM -> NA",FALSE,FALSE,"PR:Q8VIJ5","proteins/genes",5,23,"protein o-glcnacase (rat)",0.255622165391971,"beta-n-acetylhexosaminidase (rat)",0.0348466119517107,"http://purl.obolibrary.org/obo/PR_Q8VIJ5","PR","PR_Q8VIJ5","pr","http://data.bioontology.org/ontologies/PR"
"LP14023-3","cerebroside sulfatase","Lab -> Chemistry and Chemistry challenge -> CHEM -> NA",FALSE,FALSE,"PR:000004321","proteins/genes",5,3,"arylsulfatase a",0.28787165363579,"cerebroside-sulfatase",0.0232558139534882,"http://purl.obolibrary.org/obo/PR_000004321","PR","PR_000004321","pr","http://data.bioontology.org/ontologies/PR"
"LP14023-3","cerebroside sulfatase","Lab -> Chemistry and Chemistry challenge -> CHEM -> NA",FALSE,FALSE,"HP:0003538","pheonotypes",20,48,"increased serum iduronate sulfatase level",0.0755048626295257,"increased serum iduronate sulfatase level",0.0755048626295257,"http://purl.obolibrary.org/obo/HP_0003538","HP","HP_0003538","hp","http://data.bioontology.org/ontologies/HP"
"LP14037-3","plasma cell","Lab -> HEM/BC -> Hematology -> Cell fractions -> Myeloid cells",FALSE,FALSE,"FMA:70574","anatomy",10,1,"plasma cell",0,"plasma cell",0,"http://purl.obolibrary.org/obo/FMA_70574","FMA","FMA_70574","fma","http://data.bioontology.org/ontologies/FMA"
"LP14037-3","plasma cell","Lab -> HEM/BC -> Hematology -> Cell fractions -> Myeloid cells",FALSE,FALSE,"CL:0000786","cells",2,2,"plasma cell",0,"plasma cell",0,"http://purl.obolibrary.org/obo/CL_0000786","CL","CL_0000786","cl","http://data.bioontology.org/ontologies/CL"
"LP14040-7","cancer ag 19-9","Lab -> Chemistry and Chemistry challenge -> CHEM -> NA",FALSE,FALSE,"NCBITaxon:1142188","organisms",7,150,"bacterium ag-c19",0.189556799141247,"bacterium ag-c19",0.189556799141247,"http://purl.obolibrary.org/obo/NCBITaxon_1142188","NCBITAXON","NCBITaxon_1142188","ncbitaxon","http://data.bioontology.org/ontologies/NCBITAXON"
"LP14044-9","cast","Lab -> UA",FALSE,FALSE,"PR:P27321","proteins/genes",5,63,"calpastatin (rat)",0.239361170744335,"cast",0,"http://purl.obolibrary.org/obo/PR_P27321","PR","PR_P27321","pr","http://data.bioontology.org/ontologies/PR"
"LP14044-9","cast","Lab -> UA",FALSE,FALSE,"PR:000005171","proteins/genes",5,65,"dna-directed rna polymerase i subunit rpa34",0.597507764050038,"cast",0,"http://purl.obolibrary.org/obo/PR_000005171","PR","PR_000005171","pr","http://data.bioontology.org/ontologies/PR"
"LP14044-9","cast","Lab -> UA",FALSE,FALSE,"PR:O15446","proteins/genes",5,61,"dna-directed rna polymerase i subunit rpa34 (human)",0.608369775006021,"cast",0,"http://purl.obolibrary.org/obo/PR_O15446","PR","PR_O15446","pr","http://data.bioontology.org/ontologies/PR"
"LP14044-9","cast","Lab -> UA",FALSE,FALSE,"PR:P20810","proteins/genes",5,64,"calpastatin (human)",0.323876596217187,"cast",0,"http://purl.obolibrary.org/obo/PR_P20810","PR","PR_P20810","pr","http://data.bioontology.org/ontologies/PR"
"LP14044-9","cast","Lab -> UA",FALSE,FALSE,"OGG:3000026059","proteins/genes",14,73,"erc2",0.75,"cast",0,"http://purl.obolibrary.org/obo/OGG_3000026059","OGG","OGG_3000026059","ogg","http://data.bioontology.org/ontologies/OGG"
"LP14044-9","cast","Lab -> UA",FALSE,FALSE,"PR:P51125","proteins/genes",5,62,"calpastatin (mouse)",0.257218647291793,"cast",0,"http://purl.obolibrary.org/obo/PR_P51125","PR","PR_P51125","pr","http://data.bioontology.org/ontologies/PR"
"LP14044-9","cast","Lab -> UA",FALSE,FALSE,"PR:000008153","proteins/genes",5,60,"aspartate aminotransferase, cytoplasmic",0.257351551838118,"cast",0,"http://purl.obolibrary.org/obo/PR_000008153","PR","PR_000008153","pr","http://data.bioontology.org/ontologies/PR"
"LP14044-9","cast","Lab -> UA",FALSE,FALSE,"OGG:3000010849","proteins/genes",14,88,"cd3eap",0.591751709536137,"cast",0,"http://purl.obolibrary.org/obo/OGG_3000010849","OGG","OGG_3000010849","ogg","http://data.bioontology.org/ontologies/OGG"
"LP14044-9","cast","Lab -> UA",FALSE,FALSE,"OGG:3000000831","proteins/genes",14,1,"cast",0,"cast",0,"http://purl.obolibrary.org/obo/OGG_3000000831","OGG","OGG_3000000831","ogg","http://data.bioontology.org/ontologies/OGG"
"LP14044-9","cast","Lab -> UA",FALSE,FALSE,"PR:000005060","proteins/genes",5,57,"calpastatin",0.197044931453034,"cast",0,"http://purl.obolibrary.org/obo/PR_000005060","PR","PR_000005060","pr","http://data.bioontology.org/ontologies/PR"
"LP14219-7","beef","Lab -> ALLERGY -> NA -> NA -> Cow",FALSE,FALSE,"FOODON:03305350","food",8,20,"beef bone",0.108867211320993,"beef bone",0.108867211320993,"http://purl.obolibrary.org/obo/FOODON_03305350","FOODON","FOODON_03305350","foodon","http://data.bioontology.org/ontologies/FOODON"
"LP14221-3","pork","Lab -> ALLERGY -> NA -> NA -> Swine",FALSE,FALSE,"FOODON:03311610","food",8,9,"pork (cooked)",0.236237384174027,"pork (cooked)",0.236237384174027,"http://purl.obolibrary.org/obo/FOODON_03311610","FOODON","FOODON_03311610","foodon","http://data.bioontology.org/ontologies/FOODON"
"LP14221-3","pork","Lab -> ALLERGY -> NA -> NA -> Swine",FALSE,FALSE,"FOODON:00001038","food",8,1,"pork meat food product",0.350480947161671,"pork",0,"http://purl.obolibrary.org/obo/FOODON_00001038","FOODON","FOODON_00001038","foodon","http://data.bioontology.org/ontologies/FOODON"
"LP14267-6","neutrophil","Lab -> UA -> Cells -> Leukocytes",FALSE,FALSE,"FMA:62860","anatomy",10,1,"neutrophil",0,"neutrophil",0,"http://purl.obolibrary.org/obo/FMA_62860","FMA","FMA_62860","fma","http://data.bioontology.org/ontologies/FMA"
"LP14267-6","neutrophil","Lab -> HEM/BC -> Hematology -> Cell fractions -> Myeloid cells -> Leukocytes -> Granulocytes",FALSE,FALSE,"FMA:62860","anatomy",10,1,"neutrophil",0,"neutrophil",0,"http://purl.obolibrary.org/obo/FMA_62860","FMA","FMA_62860","fma","http://data.bioontology.org/ontologies/FMA"
"LP14267-6","neutrophil","Lab -> UA -> Cells -> Leukocytes",FALSE,FALSE,"CL:0000775","cells",2,2,"neutrophil",0,"neutrophil",0,"http://purl.obolibrary.org/obo/CL_0000775","CL","CL_0000775","cl","http://data.bioontology.org/ontologies/CL"
"LP14267-6","neutrophil","Lab -> HEM/BC -> Hematology -> Cell fractions -> Myeloid cells -> Leukocytes -> Granulocytes",FALSE,FALSE,"CL:0000775","cells",2,2,"neutrophil",0,"neutrophil",0,"http://purl.obolibrary.org/obo/CL_0000775","CL","CL_0000775","cl","http://data.bioontology.org/ontologies/CL"
"LP14296-5","beta-n-acetylhexosaminidase.a","Lab -> Chemistry and Chemistry challenge -> CHEM -> NA -> Beta-N-acetylhexosaminidase",FALSE,TRUE,"GO:1905379","go",16,2,"beta-n-acetylhexosaminidase complex",0.0584510160197421,"beta-n-acetylhexosaminidase complex",0.0584510160197421,"http://purl.obolibrary.org/obo/GO_1905379","GO","GO_1905379","go","http://data.bioontology.org/ontologies/GO"
"LP14296-5","beta-n-acetylhexosaminidase.a","Lab -> Chemistry and Chemistry challenge -> CHEM -> NA -> Beta-N-acetylhexosaminidase",FALSE,TRUE,"PR:Q8VIJ5","proteins/genes",5,24,"protein o-glcnacase (rat)",0.256957150592015,"beta-n-acetylhexosaminidase (rat)",0.0386317470341236,"http://purl.obolibrary.org/obo/PR_Q8VIJ5","PR","PR_Q8VIJ5","pr","http://data.bioontology.org/ontologies/PR"
"LP14297-3","bordetella pertussis.filamentous hemagglutinin","Lab -> Microbiology and Antimicrobial susceptibility -> MICRO -> Microorganism -> Bacteria. -> Bordetella sp -> Bordetella pertussis",FALSE,TRUE,"VO:0003201","vaccines",9,1,"bordetella pertussis filamentous hemagglutinin vaccine, inactivated",0.0633495574477744,"bordetella pertussis filamentous hemagglutinin vaccine, inactivated",0.0633495574477744,"http://purl.obolibrary.org/obo/VO_0003201","VO","VO_0003201","vo","http://data.bioontology.org/ontologies/VO"
"LP14300-5","c3 nephritic factor","Lab -> HEM/BC -> Complement -> Complement C3",FALSE,FALSE,"HP:0030888","pheonotypes",20,1,"c3 nephritic factor positivity",0.0852637406102106,"c3 nephritic factor positivity",0.0852637406102106,"http://purl.obolibrary.org/obo/HP_0030888","HP","HP_0030888","hp","http://data.bioontology.org/ontologies/HP"
"LP14304-7","erythrocyte","Lab -> HEM/BC -> Hematology -> Cell fractions -> Myeloid cells -> Erythroid cells",FALSE,FALSE,"FMA:62845","anatomy",10,1,"erythrocyte",0,"erythrocyte",0,"http://purl.obolibrary.org/obo/FMA_62845","FMA","FMA_62845","fma","http://data.bioontology.org/ontologies/FMA"
"LP14304-7","erythrocyte","Lab -> FERT -> NA -> Motility & count panel -> NA -> Cells other than spermatozoa",FALSE,FALSE,"FMA:62845","anatomy",10,1,"erythrocyte",0,"erythrocyte",0,"http://purl.obolibrary.org/obo/FMA_62845","FMA","FMA_62845","fma","http://data.bioontology.org/ontologies/FMA"
"LP14304-7","erythrocyte","Lab -> BLDBK -> Blood products",FALSE,FALSE,"FMA:62845","anatomy",10,1,"erythrocyte",0,"erythrocyte",0,"http://purl.obolibrary.org/obo/FMA_62845","FMA","FMA_62845","fma","http://data.bioontology.org/ontologies/FMA"
"LP14304-7","erythrocyte","Lab -> UA -> Cells",FALSE,FALSE,"FMA:62845","anatomy",10,1,"erythrocyte",0,"erythrocyte",0,"http://purl.obolibrary.org/obo/FMA_62845","FMA","FMA_62845","fma","http://data.bioontology.org/ontologies/FMA"
"LP14304-7","erythrocyte","Lab -> HEM/BC -> Hematology -> Cell fractions -> Myeloid cells -> Erythroid cells",FALSE,FALSE,"CL:0000232","cells",2,2,"erythrocyte",0,"erythrocyte",0,"http://purl.obolibrary.org/obo/CL_0000232","CL","CL_0000232","cl","http://data.bioontology.org/ontologies/CL"
"LP14304-7","erythrocyte","Lab -> FERT -> NA -> Motility & count panel -> NA -> Cells other than spermatozoa",FALSE,FALSE,"CL:0000232","cells",2,2,"erythrocyte",0,"erythrocyte",0,"http://purl.obolibrary.org/obo/CL_0000232","CL","CL_0000232","cl","http://data.bioontology.org/ontologies/CL"
"LP14304-7","erythrocyte","Lab -> BLDBK -> Blood products",FALSE,FALSE,"CL:0000232","cells",2,2,"erythrocyte",0,"erythrocyte",0,"http://purl.obolibrary.org/obo/CL_0000232","CL","CL_0000232","cl","http://data.bioontology.org/ontologies/CL"
"LP14304-7","erythrocyte","Lab -> UA -> Cells",FALSE,FALSE,"CL:0000232","cells",2,2,"erythrocyte",0,"erythrocyte",0,"http://purl.obolibrary.org/obo/CL_0000232","CL","CL_0000232","cl","http://data.bioontology.org/ontologies/CL"
"LP14309-6","immune complex","Lab -> SERO",FALSE,FALSE,"GO:0097281","go",16,4,"immune complex formation",0.0954659662667092,"immune complex formation",0.0954659662667092,"http://purl.obolibrary.org/obo/GO_0097281","GO","GO_0097281","go","http://data.bioontology.org/ontologies/GO"
"LP14310-4","interleukin 2 receptor","Lab -> Chemistry and Chemistry challenge -> CHEM -> Cytokines -> NA -> Interleukin 1+2",FALSE,FALSE,"PR:000008998","proteins/genes",5,94,"interleukin-21 receptor",0.0315252907735032,"interleukin-21 receptor",0.0315252907735032,"http://purl.obolibrary.org/obo/PR_000008998","PR","PR_000008998","pr","http://data.bioontology.org/ontologies/PR"
"LP14310-4","interleukin 2 receptor","Lab -> Chemistry and Chemistry challenge -> CHEM -> Cytokines -> NA -> Interleukin 1+2",FALSE,FALSE,"PR:000009001","proteins/genes",5,88,"interleukin-23 receptor",0.0315252907735032,"interleukin-23 receptor",0.0315252907735032,"http://purl.obolibrary.org/obo/PR_000009001","PR","PR_000009001","pr","http://data.bioontology.org/ontologies/PR"
"LP14311-2","mesothelial cell","Lab -> HEM/BC -> Hematology -> Nonhematic cells",FALSE,FALSE,"CL:0000077","cells",2,2,"mesothelial cell",0,"mesothelial cell",0,"http://purl.obolibrary.org/obo/CL_0000077","CL","CL_0000077","cl","http://data.bioontology.org/ontologies/CL"
"LP14311-2","mesothelial cell","Lab -> HEM/BC -> Hematology -> Nonhematic cells",FALSE,FALSE,"FMA:66773","anatomy",10,1,"mesothelial cell",0,"mesothelial cell",0,"http://purl.obolibrary.org/obo/FMA_66773","FMA","FMA_66773","fma","http://data.bioontology.org/ontologies/FMA"
"LP14312-0","monocytes+macrophages","Lab -> HEM/BC -> Hematology -> Cell fractions -> Myeloid cells -> Leukocytes",TRUE,FALSE,"UBERON:0000363","anatomy",1,65,"reticuloendothelial system",0.318969098496192,"mononuclear phagocyte system",0.0992817109143189,"http://purl.obolibrary.org/obo/UBERON_0000363","UBERON","UBERON_0000363","uberon","http://data.bioontology.org/ontologies/UBERON"
"LP14312-0","monocytes+macrophage","Lab -> HEM/BC -> Hematology -> Cell fractions -> Myeloid cells -> Leukocytes",TRUE,FALSE,"GO:0048246","go",16,30,"macrophage chemotaxis",0.125979994626369,"macrophage chemotaxis",0.125979994626369,"http://purl.obolibrary.org/obo/GO_0048246","GO","GO_0048246","go","http://data.bioontology.org/ontologies/GO"
"LP14313-8","monocyte","Lab -> HEM/BC -> Hematology -> Cell fractions -> Myeloid cells -> Leukocytes -> Monocytes+Macrophages",FALSE,FALSE,"FMA:62864","anatomy",10,1,"monocyte",0,"monocyte",0,"http://purl.obolibrary.org/obo/FMA_62864","FMA","FMA_62864","fma","http://data.bioontology.org/ontologies/FMA"
