"Ontology ID","label","has curation status","alternative term","definition","definition source","example of usage","editor note","term editor","ontology term requester","term tracker item","logical type","logical note","parent class","material processing technique","detection technique","evaluant","analyte","device","reagent","molecular label","input","output","target entity","objective","associated axioms","database cross reference IRI"
"ID","A rdfs:label","AI has curation status","A alternative term SPLIT=|","A definition SPLIT=|","A definition source SPLIT=|","A example of usage SPLIT=|","A editor note SPLIT=|","A term editor SPLIT=|","A ontology term requester","AI term tracker item","CLASS_TYPE","","C % SPLIT=|","C 'has part' some % SPLIT=|","C 'has part' some % SPLIT=|","C (has_specified_input some (% and 'has role' some 'evaluant role')) and (realizes some ('evaluant role' and ('role of' some %))) SPLIT=|","C (has_specified_input some %) and (realizes some ('analyte role' and ('inheres in' some %)))","C (has_specified_input some %) and (realizes some (function and ('inheres in' some %))) SPLIT=|","C (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))","C (has_specified_input some %) and (realizes some ('molecular label role' and ('inheres in' some %)))","C has_specified_input some %","C has_specified_output some %","C has_specified_output some ('is about' some %)","C achieves_planned_objective some %","C %","AI oboInOwl:hasDbXref"
"turbo:TURBO_3000011","Quantitative assay for glyBURIDE in Serum or Plasma specimen [mass per unit volume]","","Glyburide [Mass/volume] in Serum or Plasma","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: glyBURIDE; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'glyburide'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:10540-3"
"turbo:TURBO_3000012","Quantitative assay for Phenytoin.free in Serum or Plasma specimen [percent]","","Phenytoin Free/Phenytoin.total in Serum or Plasma","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: Phenytoin.free; reporting (a) percent","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'phenytoin'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'percent')","","","","loinc:10548-6"
"turbo:TURBO_3000013","Quantitative assay for Ab.IgE against Passiflora edulis in Serum specimen [arbitrary clinical concentration/abundance unit]","","Passion fruit IgE Ab [Units/volume] in Serum","A(n) 'assay of specimen from organism' with evaluant: Serum; analyte: Ab.IgE against Passiflora edulis; reporting (a) arbitrary clinical concentration/abundance unit","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'blood serum specimen'","('IgE immunoglobulin complex' and 'has disposition to bind' some 'Passiflora edulis')","","","","","('scalar measurement datum' and 'has measurement unit label' some 'arbitrary clinical concentration/abundance unit')","","","","loinc:10946-2"
"turbo:TURBO_3000014","Quantitative assay for 6-Monoacetylmorphine in Urine specimen [mass per unit volume]","","6-Monoacetylmorphine (6-MAM) [Mass/volume] in Urine","A(n) 'assay of specimen from organism' with evaluant: Urine; analyte: 6-Monoacetylmorphine; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'urine specimen'","'6-Acetylmorphine'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:10975-1"
"turbo:TURBO_3000015","Assay for 6-Monoacetylmorphine in Urine specimen [categorical measurement datum]","","6-Monoacetylmorphine (6-MAM) [Presence] in Urine","A(n) 'assay of specimen from organism' with evaluant: Urine; analyte: 6-Monoacetylmorphine; reporting (a) categorical measurement datum","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'urine specimen'","'6-Acetylmorphine'","","","","","'categorical measurement datum'","","","","loinc:10976-9"
"turbo:TURBO_3000016","Quantitative assay for Fluconazole in Serum or Plasma specimen [mass per unit volume]","","Fluconazole [Mass/volume] in Serum or Plasma","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: Fluconazole; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'fluconazole'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:10987-6"
"turbo:TURBO_3000017","Quantitative assay for Itraconazole in Serum or Plasma specimen [mass per unit volume]","","Itraconazole [Mass/volume] in Serum or Plasma","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: Itraconazole; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'itraconazole'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:10989-2"
"turbo:TURBO_3000018","Quantitative assay for Norclozapine in Serum or Plasma specimen [mass per unit volume]","","Norclozapine [Mass/volume] in Serum or Plasma","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: Norclozapine; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'N-desmethylclozapine'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:10992-6"
"turbo:TURBO_3000019","Assay for oxyCODONE in Urine specimen [categorical measurement datum]","","oxyCODONE [Presence] in Urine","A(n) 'assay of specimen from organism' with evaluant: Urine; analyte: oxyCODONE; reporting (a) categorical measurement datum","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'urine specimen'","'oxycodone'","","","","","'categorical measurement datum'","","","","loinc:10998-3"
"turbo:TURBO_3000020","Quantitative assay for Hepatitis C virus in Serum or Plasma specimen [arbitrary clinical concentration/abundance unit]","","Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: Hepatitis C virus; reporting (a) arbitrary clinical concentration/abundance unit","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'Hepacivirus C'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'arbitrary clinical concentration/abundance unit')","","","","loinc:11011-4"
"turbo:TURBO_3000021","Quantitative assay for Lymphocytes in Body fluid specimen , normalized by 100 leukocytes [percent]","","Lymphocytes/100 leukocytes in Body fluid","A(n) 'assay of specimen from organism' with evaluant: Body fluid; analyte: Lymphocytes, normalized by 100 leukocytes ; reporting (a) percent","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'bodily fluid specimen'","'lymphocyte'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'percent')","","","","loinc:11031-2"
"turbo:TURBO_3000023","Quantitative assay for EPINEPHrine in Urine specimen [mass per unit volume]","","EPINEPHrine [Mass/volume] in Urine","A(n) 'assay of specimen from organism' with evaluant: Urine; analyte: EPINEPHrine; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'urine specimen'","'adrenaline'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:11046-0"
"turbo:TURBO_3000024","Quantitative assay for Cholesterol.in LDL in Serum or Plasma specimen [ratio]","","Cholesterol in LDL/Cholesterol in HDL [Mass Ratio] in Serum or Plasma","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: Cholesterol.in LDL; reporting (a) ratio","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'low-density lipoprotein cholesterol'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'ratio')","","","","loinc:11054-4"
"turbo:TURBO_3000025","Quantitative assay for Butalbital in Urine specimen [mass per unit volume]","","Butalbital [Mass/volume] in Urine","A(n) 'assay of specimen from organism' with evaluant: Urine; analyte: Butalbital; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'urine specimen'","'butalbital'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:11071-8"
"turbo:TURBO_3000026","Quantitative assay for Norfentanyl in Urine specimen [mass per unit volume]","","Norfentanyl [Mass/volume] in Urine","A(n) 'assay of specimen from organism' with evaluant: Urine; analyte: Norfentanyl; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'urine specimen'","'norfentanyl'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:11075-9"
"turbo:TURBO_3000027","Quantitative assay for Phosphate in Urine specimen , normalized by Creatinine [ratio]","","Phosphate/Creatinine [Mass Ratio] in Urine","A(n) 'assay of specimen from organism' with evaluant: Urine; analyte: Phosphate, normalized by Creatinine ; reporting (a) ratio","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'urine specimen'","'phosphate'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'ratio')","","","","loinc:11141-9"
"turbo:TURBO_3000028","Quantitative assay for Ab.IgE against Macadamia spp in Serum specimen [arbitrary clinical concentration/abundance unit]","","Macadamia IgE Ab [Units/volume] in Serum","A(n) 'assay of specimen from organism' with evaluant: Serum; analyte: Ab.IgE against Macadamia spp; reporting (a) arbitrary clinical concentration/abundance unit","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'blood serum specimen'","('IgE immunoglobulin complex' and 'has disposition to bind' some 'Macadamia')","","","","","('scalar measurement datum' and 'has measurement unit label' some 'arbitrary clinical concentration/abundance unit')","","","","loinc:11183-1"
"turbo:TURBO_3000029","Quantitative assay for Amobarbital in Urine specimen [mass per unit volume]","","Amobarbital [Mass/volume] in Urine","A(n) 'assay of specimen from organism' with evaluant: Urine; analyte: Amobarbital; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'urine specimen'","'amobarbital'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:11230-0"
"turbo:TURBO_3000030","Assay for fentaNYL in Urine specimen [categorical measurement datum]","","fentaNYL [Presence] in Urine","A(n) 'assay of specimen from organism' with evaluant: Urine; analyte: fentaNYL; reporting (a) categorical measurement datum","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'urine specimen'","'fentanyl'","","","","","'categorical measurement datum'","","","","loinc:11235-9"
"turbo:TURBO_3000031","Quantitative assay for Mercaptopurine in Serum or Plasma specimen [mass per unit volume]","","Mercaptopurine [Mass/volume] in Serum or Plasma","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: Mercaptopurine; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'mercaptopurine'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:11242-5"
"turbo:TURBO_3000032","Quantitative assay for Morphine.free in Serum or Plasma specimen [mass per unit volume]","","Morphine Free [Mass/volume] in Serum or Plasma","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: Morphine.free; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'morphine'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:11244-1"
"turbo:TURBO_3000033","Quantitative assay for oxyCODONE in Urine specimen [mass per unit volume]","","oxyCODONE [Mass/volume] in Urine","A(n) 'assay of specimen from organism' with evaluant: Urine; analyte: oxyCODONE; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'urine specimen'","'oxycodone'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:11246-6"
"turbo:TURBO_3000034","Quantitative assay for Tacrolimus in Blood specimen [mass per unit volume]","","Tacrolimus [Mass/volume] in Blood","A(n) 'assay of specimen from organism' with evaluant: Blood; analyte: Tacrolimus; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'blood specimen'","'tacrolimus (anhydrous)'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:11253-2"
"turbo:TURBO_3000035","Assay for Hepatitis C virus in Serum or Plasma specimen [categorical measurement datum]","","Hepatitis C virus RNA [Presence] in Serum or Plasma by NAA with probe detection","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: Hepatitis C virus; reporting (a) categorical measurement datum","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'Hepacivirus C'","","","","","'categorical measurement datum'","","","","loinc:11259-9"
"turbo:TURBO_3000036","Quantitative assay for Oxyhemoglobin in Blood specimen [percent]","","Fractional oxyhemoglobin in Blood","A(n) 'assay of specimen from organism' with evaluant: Blood; analyte: Oxyhemoglobin; reporting (a) percent","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'blood specimen'","'oxyhemoglobin'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'percent')","","","","loinc:11559-2"
"turbo:TURBO_3000037","Quantitative assay for Thyrotropin in Serum or Plasma specimen (Detection limit <= 0.05 mIU/L) [arbitrary clinical concentration/abundance unit]","","Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: Thyrotropin; using a(n) Detection limit <= 0.05 mIU/L method ; reporting (a) arbitrary clinical concentration/abundance unit","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'Thyrotropin'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'arbitrary clinical concentration/abundance unit')","","","","loinc:11579-0"
"turbo:TURBO_3000038","Quantitative assay for Basophils in Body fluid specimen , normalized by 100 leukocytes (Manual count) [percent]","","Basophils/100 leukocytes in Body fluid by Manual count","A(n) 'assay of specimen from organism' with evaluant: Body fluid; analyte: Basophils, normalized by 100 leukocytes ; using a(n) Manual count method ; reporting (a) percent","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'bodily fluid specimen'","'basophil'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'percent')","","","","loinc:12179-8"
"turbo:TURBO_3000039","Quantitative assay for Cholesterol in Body fluid specimen [mass per unit volume]","","Cholesterol [Mass/volume] in Body fluid","A(n) 'assay of specimen from organism' with evaluant: Body fluid; analyte: Cholesterol; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'bodily fluid specimen'","'cholesterol'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:12183-0"
"turbo:TURBO_3000040","Quantitative assay for Creatinine in Body fluid specimen [mass per unit volume]","","Creatinine [Mass/volume] in Body fluid","A(n) 'assay of specimen from organism' with evaluant: Body fluid; analyte: Creatinine; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'bodily fluid specimen'","'creatinine'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:12190-5"
"turbo:TURBO_3000041","Quantitative assay for Creatinine in Peritoneal fluid specimen [mass per unit volume]","","Creatinine [Mass/volume] in Peritoneal fluid","A(n) 'assay of specimen from organism' with evaluant: Peritoneal fluid; analyte: Creatinine; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'peritoneal fluid specimen'","'creatinine'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:12191-3"
"turbo:TURBO_3000042","Quantitative assay for Eosinophils in Cerebral spinal fluid specimen , normalized by 100 leukocytes (Manual count) [percent]","","Eosinophils/100 leukocytes in Cerebral spinal fluid by Manual count","A(n) 'assay of specimen from organism' with evaluant: Cerebral spinal fluid; analyte: Eosinophils, normalized by 100 leukocytes ; using a(n) Manual count method ; reporting (a) percent","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'cerebrospinal fluid specimen'","'eosinophil'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'percent')","","","","loinc:12208-5"
"turbo:TURBO_3000043","Quantitative assay for Eosinophils in Body fluid specimen , normalized by 100 leukocytes (Manual count) [percent]","","Eosinophils/100 leukocytes in Body fluid by Manual count","A(n) 'assay of specimen from organism' with evaluant: Body fluid; analyte: Eosinophils, normalized by 100 leukocytes ; using a(n) Manual count method ; reporting (a) percent","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'bodily fluid specimen'","'eosinophil'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'percent')","","","","loinc:12209-3"
"turbo:TURBO_3000044","Quantitative assay for Leukocytes in Blood specimen [count per volume]","","Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood","A(n) 'assay of specimen from organism' with evaluant: Blood; analyte: Leukocytes; reporting (a) count per volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'blood specimen'","'leukocyte'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'count per volume')","","","","loinc:12227-5"
"turbo:TURBO_3000045","Quantitative assay for Triglyceride in Body fluid specimen [mass per unit volume]","","Triglyceride [Mass/volume] in Body fluid","A(n) 'assay of specimen from organism' with evaluant: Body fluid; analyte: Triglyceride; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'bodily fluid specimen'","'triglyceride'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:12228-3"
"turbo:TURBO_3000046","Quantitative assay for Macrophages in Body fluid specimen , normalized by 100 leukocytes (Manual count) [percent]","","Macrophages/100 leukocytes in Body fluid by Manual count","A(n) 'assay of specimen from organism' with evaluant: Body fluid; analyte: Macrophages, normalized by 100 leukocytes ; using a(n) Manual count method ; reporting (a) percent","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'bodily fluid specimen'","'macrophage'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'percent')","","","","loinc:12230-9"
"turbo:TURBO_3000047","Quantitative assay for Neutrophils in Body fluid specimen , normalized by 100 leukocytes (Manual count) [percent]","","Neutrophils/100 leukocytes in Body fluid by Manual count","A(n) 'assay of specimen from organism' with evaluant: Body fluid; analyte: Neutrophils, normalized by 100 leukocytes ; using a(n) Manual count method ; reporting (a) percent","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'bodily fluid specimen'","'neutrophil'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'percent')","","","","loinc:12238-2"
