PartTypeVal,pds.count,PartTypeName.y,PartName,PartDisplayName,Status,use,iri
LP7000-5,1221.9,SYSTEM,Amnio fld,Amniotic fluid,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0000173
LP7565-7,845.0,SYSTEM,Saliva,Saliva,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0001836
LP7486-6,355.0,SYSTEM,Plr fld,Pleural fluid,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0001087
LP7592-1,271.4,SYSTEM,Synv fld,Synovial fluid,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0001090
LP7507-9,63.0,SYSTEM,Periton fld,Peritoneal fluid,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0001268
LP7589-7,61.0,SYSTEM,Semen,Semen,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0001968
LP7720-8,24.3,SYSTEM,WBC,White blood cells,ACTIVE,y,http://purl.obolibrary.org/obo/CL_0000738
LP7354-6,401700.5,SYSTEM,Inhl gas,Inhaled gas,ACTIVE,,
LP7593-9,265981.4,SYSTEM,Specimen,Specimen,ACTIVE,,
LP7494-0,209914.0,SYSTEM,PPP,Platelet poor plasma,ACTIVE,,
LP7690-3,126511.7,SYSTEM,Urine sed,Urine sediment,ACTIVE,,
LP7706-7,112407.9,SYSTEM,Ventilator,Ventilator,ACTIVE,,
LP7163-1,110995.2,SYSTEM,Cvx/Vag,Cervix or Vagina,ACTIVE,,
LP97574-5,98344.0,SYSTEM,Current sample,Current sample,ACTIVE,,
LP32887-9,71562.0,SYSTEM,{Setting},{Setting},ACTIVE,,
LP21304-8,69891.1,SYSTEM,Bld.dot,DBS,ACTIVE,,
LP310005-6,59831.6,SYSTEM,^Patient,^Patient,ACTIVE,,
LP7162-3,44083.5,SYSTEM,Cvx,Cervix,ACTIVE,,
LP7735-6,26084.2,SYSTEM,XXX,XXX,ACTIVE,,
LP7180-5,19601.7,SYSTEM,Dose,Dose,ACTIVE,,
LP7556-6,15513.4,SYSTEM,Respiratory system,Respiratory system,ACTIVE,,
LP7161-5,14833.0,SYSTEM,Cvm,Cervical mucus,ACTIVE,,
LP76034-5,14328.0,SYSTEM,{system},{system},ACTIVE,,
LP97572-9,10293.0,SYSTEM,NBS card,NBS card,ACTIVE,,
LP32517-2,5144.3,SYSTEM,Urine+Ser/Plas,Urine and Serum or Plasma,ACTIVE,,
LP157285-0,4924.0,SYSTEM,Ser/Plas+CSF,Serum or Plasma and CSF,ACTIVE,,
LP28582-2,4776.4,SYSTEM,BldCoA,Blood cord arterial,ACTIVE,,
LP7569-9,4775.0,SYSTEM,Ser+CSF,Serum and CSF,ACTIVE,,
LP7504-6,4666.0,SYSTEM,Provider,Provider,ACTIVE,,
LP7096-3,4614.1,SYSTEM,Calculus,Calculus (stone),ACTIVE,,
LP30364-1,4519.0,SYSTEM,Urethra,Urethra,ACTIVE,,
LP7410-6,4195.6,SYSTEM,Bone mar,Bone marrow,ACTIVE,,
LP36286-0,3238.0,SYSTEM,Retic,Reticulocytes,ACTIVE,,
LP6989-0,2685.8,SYSTEM,Reference lab test,Reference lab test,ACTIVE,,
LP7558-2,2008.5,SYSTEM,Respiratory system.airway,Respiratory system airway,ACTIVE,,
LP310004-9,1352.0,SYSTEM,^Fetus,^Fetus,ACTIVE,,
LP7413-0,1132.4,SYSTEM,Meconium,Meconium,ACTIVE,,
LP7271-2,976.0,SYSTEM,Vag,Vaginal,ACTIVE,,
LP7061-7,940.7,SYSTEM,Bld/Tiss,Blood or Tissue,ACTIVE,,
LP30522-4,923.0,SYSTEM,Hereditary,Hereditary,ACTIVE,,
LP281760-1,922.0,SYSTEM,^Mother,^Mother,ACTIVE,,
LP7060-9,872.3,SYSTEM,Bld/Bone mar,Blood or Marrow,ACTIVE,,
LP7641-6,686.6,SYSTEM,Tiss,Tissue and Smears,ACTIVE,,
LP7709-1,668.0,SYSTEM,Ventilator.alarm,Ventilator alarm,ACTIVE,,
LP281750-2,597.0,SYSTEM,^Family member,^Family member,ACTIVE,,
LP7604-4,531.4,SYSTEM,Stool,Stool,ACTIVE,,
LP28583-0,413.8,SYSTEM,BldCoV,Blood cord venous,ACTIVE,,
LP7370-2,321.6,SYSTEM,Isolate,Isolate,ACTIVE,,
LP7554-1,145.0,SYSTEM,Report,Report,ACTIVE,,
LP36892-5,116.0,SYSTEM,Facility,Facility,ACTIVE,,
LP7214-2,104.0,SYSTEM,Exhl gas,Exhaled gas,ACTIVE,,
LP7400-7,74.5,SYSTEM,Liver,Liver,ACTIVE,,
LP7459-3,70.0,SYSTEM,Oxygen delivery system,Oxygen delivery system,ACTIVE,,
LP7506-1,59.3,SYSTEM,PRP,Platelet rich plasma,ACTIVE,,
LP30139-7,35.0,SYSTEM,Nuchal fold^fetus,Nuchal fold^fetus,ACTIVE,,
LP7415-5,30.0,SYSTEM,Medication.current,Medication current,ACTIVE,,
LP281728-8,29.0,SYSTEM,^BPU,^BPU,ACTIVE,,
LP7252-2,21.0,SYSTEM,Tiss fixed,Fixed tissue,ACTIVE,,
LP185795-4,17.7,SYSTEM,Plas.cfDNA,Plasma cell-free DNA,ACTIVE,,
LP266970-5,16.0,SYSTEM,Isolate/Specimen,Isolate or Specimen,ACTIVE,,
LP7034-4,15.0,SYSTEM,Arterial system,Arterial system,ACTIVE,,
LP7218-3,15.0,SYSTEM,Eye,Eye,ACTIVE,,
LP7466-8,11.0,SYSTEM,Pericard fld,Pericardial fluid,ACTIVE,,
