"LoincNumber","priority","LongCommonName","PartNumber","PartName","PartCodeSystem","PartTypeName","LinkTypeName","Property","loinc.part.name","obo.uri","obo.label","rank","justification"
"10906-6",4,"Saint Louis encephalitis virus IgG Ab [Titer] in Serum by Immunofluorescence","LP14855-8","Virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Virus","http://purl.obolibrary.org/obo/NCBITaxon_10239","Viruses",NA,"LOINC provided mappings"
"11038-7",4,"Beta+gamma tocopherol [Mass/volume] in Serum or Plasma","LP99929-9","Gamma tocopherol","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Gamma tocopherol","http://purl.obolibrary.org/obo/CHEBI_18185","gamma-tocopherol",NA,"LOINC provided mappings"
"11038-7",4,"Beta+gamma tocopherol [Mass/volume] in Serum or Plasma","LP99936-4","Tocopherol","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Tocopherol","http://purl.obolibrary.org/obo/CHEBI_27013","",NA,"BioPortal mapping"
"11064-3",4,"Urea nitrogen [Mass/volume] in Serum or Plasma --post dialysis","LP15746-8","Nitrogen","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Nitrogen","http://purl.obolibrary.org/obo/CHEBI_25555","nitrogen atom",NA,"LOINC provided mappings"
"11064-3",4,"Urea nitrogen [Mass/volume] in Serum or Plasma --post dialysis","LP14288-2","Urea","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Urea","http://purl.obolibrary.org/obo/CHEBI_16199","urea",NA,"LOINC provided mappings"
"11064-3",4,"Urea nitrogen [Mass/volume] in Serum or Plasma --post dialysis","LP32538-8","Dialysis","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Dialysis","http://purl.bioontology.org/ontology/NCBITAXON/124307","",NA,"BioPortal mapping"
"11103-9",4,"Band form neutrophils/100 cells in Bone marrow by Manual count","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"11103-9",4,"Band form neutrophils/100 cells in Bone marrow by Manual count","LP14267-6","Neutrophils","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","neutrophil","http://purl.obolibrary.org/obo/CL_0000775","neutrophil",0,"ols text search exact matches"
"11107-0",4,"Variant lymphocytes/100 cells in Bone marrow by Manual count","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"11107-0",4,"Variant lymphocytes/100 cells in Bone marrow by Manual count","LP14540-6","Lymphocytes","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","lymphocyte","http://purl.obolibrary.org/obo/CL_0000542","lymphocyte",0,"ols text search exact matches"
"11125-2",4,"Platelet morphology finding [Identifier] in Blood","LP16772-3","Platelet","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Platelet","http://purl.obolibrary.org/obo/CL_0000233","",NA,"BioPortal mapping"
"11128-6",4,"Segmented neutrophils/100 cells in Bone marrow","LP14267-6","Neutrophils","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","neutrophil","http://purl.obolibrary.org/obo/CL_0000775","neutrophil",0,"ols text search exact matches"
"11128-6",4,"Segmented neutrophils/100 cells in Bone marrow","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"11150-0",4,"Blasts/100 cells in Bone marrow","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"11256-5",4,"Haemophilus influenzae B IgG Ab [Mass/volume] in Serum","LP16649-3","Haemophilus influenzae","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Haemophilus influenzae","http://purl.obolibrary.org/obo/NCBITaxon_727","Haemophilus influenzae",NA,"LOINC provided mappings"
"11277-1",4,"Epithelial cells.squamous [#/area] in Urine sediment by Microscopy high power field","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"11282-1",4,"Cells Counted Total [#] in Blood","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"11882-8",4,"Fetal Sex US","LP101395-4","Sex","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Sex","http://purl.obolibrary.org/obo/PATO_0000047","",NA,"BioPortal mapping"
"12187-1",4,"Creatine kinase.MB/Creatine kinase.total in Serum or Plasma by Electrophoresis","LP15510-8","Creatine kinase","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatine kinase","http://purl.obolibrary.org/obo/PR_000029971","",NA,"BioPortal mapping"
"12187-1",4,"Creatine kinase.MB/Creatine kinase.total in Serum or Plasma by Electrophoresis","LP15509-0","Creatine","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatine","http://purl.obolibrary.org/obo/CHEBI_16919","creatine",NA,"LOINC provided mappings"
"12189-7",4,"Creatine kinase.MB/Creatine kinase.total in Serum or Plasma by calculation","LP15509-0","Creatine","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatine","http://purl.obolibrary.org/obo/CHEBI_16919","creatine",NA,"LOINC provided mappings"
"12189-7",4,"Creatine kinase.MB/Creatine kinase.total in Serum or Plasma by calculation","LP15510-8","Creatine kinase","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatine kinase","http://purl.obolibrary.org/obo/PR_000029971","",NA,"BioPortal mapping"
"12481-8",4,"Arsenic.inorganic [Mass/volume] in Urine","LP16802-8","Arsenic","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Arsenic","http://purl.obolibrary.org/obo/CHEBI_27563","arsenic atom",NA,"LOINC provided mappings"
"12782-9",4,"Oligoclonal bands [Interpretation] in Cerebral spinal fluid by Electrophoresis","LP15838-3","Protein","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Protein","http://purl.obolibrary.org/obo/CHEBI_36080","protein",NA,"LOINC provided mappings"
"12851-2",4,"Protein Fractions [Interpretation] in Serum or Plasma by Electrophoresis","LP15838-3","Protein","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Protein","http://purl.obolibrary.org/obo/CHEBI_36080","protein",NA,"LOINC provided mappings"
"12967-6",4,"Urea nitrogen [Mass/volume] in 24 hour Urine","LP15746-8","Nitrogen","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Nitrogen","http://purl.obolibrary.org/obo/CHEBI_25555","nitrogen atom",NA,"LOINC provided mappings"
"12967-6",4,"Urea nitrogen [Mass/volume] in 24 hour Urine","LP14288-2","Urea","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Urea","http://purl.obolibrary.org/obo/CHEBI_16199","urea",NA,"LOINC provided mappings"
"13046-8",4,"Variant lymphocytes/100 leukocytes in Blood","LP14540-6","Lymphocytes","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","lymphocyte","http://purl.obolibrary.org/obo/CL_0000542","lymphocyte",0,"ols text search exact matches"
"13046-8",4,"Variant lymphocytes/100 leukocytes in Blood","LP14419-3","Leukocytes","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","leukocyte","http://purl.obolibrary.org/obo/CL_0000738","leukocyte",0,"ols text search exact matches"
"13048-4",4,"Sezary cells [Presence] in Blood by Light microscopy","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"13175-5",4,"Liver cytosol Ab [Presence] in Serum","LP29289-3","Liver","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Liver","http://purl.obolibrary.org/obo/UBERON_0002107","",NA,"BioPortal mapping"
"13298-5",4,"HLA-A [Type]","LP29288-5","HLA","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","HLA","http://purl.obolibrary.org/obo/OGG_3005330660","",NA,"BioPortal mapping"
"13299-3",4,"HLA-B [Type]","LP29288-5","HLA","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","HLA","http://purl.obolibrary.org/obo/OGG_3005330660","",NA,"BioPortal mapping"
"13302-5",4,"HLA-C [Type]","LP29288-5","HLA","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","HLA","http://purl.obolibrary.org/obo/OGG_3005330660","",NA,"BioPortal mapping"
"13303-3",4,"HLA-A+B+C (class I) [Type]","LP29288-5","HLA","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","HLA","http://purl.obolibrary.org/obo/OGG_3005330660","",NA,"BioPortal mapping"
"13304-1",4,"HLA-DR [Type]","LP29288-5","HLA","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","HLA","http://purl.obolibrary.org/obo/OGG_3005330660","",NA,"BioPortal mapping"
"13305-8",4,"HLA-DQ [Type]","LP29288-5","HLA","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","HLA","http://purl.obolibrary.org/obo/OGG_3005330660","",NA,"BioPortal mapping"
"13307-4",4,"HLA-DQ alpha [Type]","LP29288-5","HLA","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","HLA","http://purl.obolibrary.org/obo/OGG_3005330660","",NA,"BioPortal mapping"
"13333-0",4,"CD3+CD25+ cells/100 cells in Blood","LP14624-8","CD3","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD3","http://purl.obolibrary.org/obo/PR_000001018","",NA,"BioPortal mapping"
"13333-0",4,"CD3+CD25+ cells/100 cells in Blood","LP14624-8","CD3","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD3","http://purl.obolibrary.org/obo/PR_000001020","",NA,"BioPortal mapping"
"13333-0",4,"CD3+CD25+ cells/100 cells in Blood","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"13337-1",4,"CD8+HLA-DR+ cells/100 cells in Blood","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"13337-1",4,"CD8+HLA-DR+ cells/100 cells in Blood","LP29288-5","HLA","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","HLA","http://purl.obolibrary.org/obo/OGG_3005330660","",NA,"BioPortal mapping"
"13338-9",4,"CD8+CD57+ cells/100 cells in Blood","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"13344-7",4,"CD8+CD38+ cells/100 cells in Blood","LP18354-8","CD38","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD38","http://purl.obolibrary.org/obo/OGG_3000000952","",NA,"BioPortal mapping"
"13344-7",4,"CD8+CD38+ cells/100 cells in Blood","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"13354-6",4,"Band form neutrophils/100 leukocytes in Body fluid by Manual count","LP14419-3","Leukocytes","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","leukocyte","http://purl.obolibrary.org/obo/CL_0000738","leukocyte",0,"ols text search exact matches"
"13354-6",4,"Band form neutrophils/100 leukocytes in Body fluid by Manual count","LP14267-6","Neutrophils","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","neutrophil","http://purl.obolibrary.org/obo/CL_0000775","neutrophil",0,"ols text search exact matches"
"13438-7",4,"Protein Fractions [Interpretation] in Urine by Electrophoresis","LP15838-3","Protein","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Protein","http://purl.obolibrary.org/obo/CHEBI_36080","protein",NA,"LOINC provided mappings"
"13514-5",4,"Hemoglobin pattern [Interpretation] in Blood by Electrophoresis Narrative","LP14449-0","Hemoglobin","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Hemoglobin","http://purl.obolibrary.org/obo/CHEBI_35143","",NA,"BioPortal mapping"
"13534-3",4,"Sucrose hemolysis [Presence] of Blood","LP15873-0","Sucrose","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Sucrose","http://purl.obolibrary.org/obo/CHEBI_17992","sucrose",NA,"LOINC provided mappings"
"13590-5",4,"Activated protein C resistance [Time Ratio] in Platelet poor plasma by Coagulation assay","LP15838-3","Protein","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Protein","http://purl.obolibrary.org/obo/CHEBI_36080","protein",NA,"LOINC provided mappings"
"13926-1",4,"Glutamate decarboxylase 65 Ab [Units/volume] in Serum","LP15605-6","Glutamate","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Glutamate","http://purl.obolibrary.org/obo/CHEBI_18237","glutamic acid",NA,"LOINC provided mappings"
"13952-7",4,"Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay","LP14306-2","Hepatitis B virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Hepatitis B virus","http://purl.obolibrary.org/obo/NCBITaxon_10407","Hepatitis B virus",NA,"LOINC provided mappings"
"13952-7",4,"Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay","LP14855-8","Virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Virus","http://purl.obolibrary.org/obo/NCBITaxon_10239","Viruses",NA,"LOINC provided mappings"
"13953-5",4,"Hepatitis B virus e Ab [Presence] in Serum or Plasma by Immunoassay","LP14306-2","Hepatitis B virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Hepatitis B virus","http://purl.obolibrary.org/obo/NCBITaxon_10407","Hepatitis B virus",NA,"LOINC provided mappings"
"13953-5",4,"Hepatitis B virus e Ab [Presence] in Serum or Plasma by Immunoassay","LP14855-8","Virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Virus","http://purl.obolibrary.org/obo/NCBITaxon_10239","Viruses",NA,"LOINC provided mappings"
"13954-3",4,"Hepatitis B virus e Ag [Presence] in Serum or Plasma by Immunoassay","LP14306-2","Hepatitis B virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Hepatitis B virus","http://purl.obolibrary.org/obo/NCBITaxon_10407","Hepatitis B virus",NA,"LOINC provided mappings"
"13954-3",4,"Hepatitis B virus e Ag [Presence] in Serum or Plasma by Immunoassay","LP14855-8","Virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Virus","http://purl.obolibrary.org/obo/NCBITaxon_10239","Viruses",NA,"LOINC provided mappings"
"13969-1",4,"Creatine kinase.MB [Mass/volume] in Serum or Plasma","LP15510-8","Creatine kinase","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatine kinase","http://purl.obolibrary.org/obo/PR_000029971","",NA,"BioPortal mapping"
"13969-1",4,"Creatine kinase.MB [Mass/volume] in Serum or Plasma","LP15509-0","Creatine","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatine","http://purl.obolibrary.org/obo/CHEBI_16919","creatine",NA,"LOINC provided mappings"
"14020-2",4,"HTLV I+II p19 Ab [Presence] in Serum or Plasma by Immunoblot","LP193446-4","HTLV I","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","HTLV I","http://purl.obolibrary.org/obo/NCBITaxon_11908","Human T-cell leukemia virus type I",NA,"LOINC provided mappings"
"14020-2",4,"HTLV I+II p19 Ab [Presence] in Serum or Plasma by Immunoblot","LP102290-6","HTLV","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","HTLV","http://purl.obolibrary.org/obo/NCBITaxon_1907191","Human T-cell lymphotropic virus",NA,"LOINC provided mappings"
"14108-5",4,"CD16C+CD56+ cells [#/volume] in Blood","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"14115-0",4,"Collagen crosslinked N-telopeptide/Creatinine [Molar ratio] in Urine","LP14355-9","Creatinine","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatinine","http://purl.obolibrary.org/obo/CHEBI_16737","creatinine",NA,"LOINC provided mappings"
"14115-0",4,"Collagen crosslinked N-telopeptide/Creatinine [Molar ratio] in Urine","LP18176-5","Collagen","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Collagen","http://purl.obolibrary.org/obo/CHEBI_3815","",NA,"BioPortal mapping"
"14135-8",4,"CD3+CD8+ (T8 suppressor cells) cells [#/volume] in Blood","LP14624-8","CD3","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD3","http://purl.obolibrary.org/obo/PR_000001020","",NA,"BioPortal mapping"
"14135-8",4,"CD3+CD8+ (T8 suppressor cells) cells [#/volume] in Blood","LP14624-8","CD3","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD3","http://purl.obolibrary.org/obo/PR_000001018","",NA,"BioPortal mapping"
"14135-8",4,"CD3+CD8+ (T8 suppressor cells) cells [#/volume] in Blood","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"14199-4",4,"Chlamydia trachomatis B IgA Ab [Titer] in Serum by Immunofluorescence","LP14669-3","IgA","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","IgA","http://purl.obolibrary.org/obo/CHEBI_5883","Immunoglobulin A",NA,"LOINC provided mappings"
"14277-8",4,"Neutrophil cytoplasmic Ab.classic [Titer] in Serum by Immunofluorescence","LP16686-5","Neutrophil","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Neutrophil","http://purl.obolibrary.org/obo/CL_0000775","",NA,"BioPortal mapping"
"14278-6",4,"Neutrophil cytoplasmic Ab.perinuclear [Titer] in Serum by Immunofluorescence","LP16686-5","Neutrophil","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Neutrophil","http://purl.obolibrary.org/obo/CL_0000775","",NA,"BioPortal mapping"
"14803-1",4,"Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid by Lactate to pyruvate reaction","LP15686-6","Lactate","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Lactate","http://purl.obolibrary.org/obo/CHEBI_24996","lactate",NA,"LOINC provided mappings"
"14804-9",4,"Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction","LP15686-6","Lactate","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Lactate","http://purl.obolibrary.org/obo/CHEBI_24996","lactate",NA,"LOINC provided mappings"
"14866-8",4,"Parathyrin.intact [Moles/volume] in Serum or Plasma","LP18184-9","Parathyrin","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Parathyrin","http://purl.obolibrary.org/obo/CHEBI_80273","Parathyroid hormone",NA,"LOINC provided mappings"
"14937-7",4,"Urea nitrogen [Moles/volume] in Serum or Plasma","LP14288-2","Urea","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Urea","http://purl.obolibrary.org/obo/CHEBI_16199","urea",NA,"LOINC provided mappings"
"14937-7",4,"Urea nitrogen [Moles/volume] in Serum or Plasma","LP15746-8","Nitrogen","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Nitrogen","http://purl.obolibrary.org/obo/CHEBI_25555","nitrogen atom",NA,"LOINC provided mappings"
"14958-3",4,"Microalbumin/Creatinine [Mass Ratio] in 24 hour Urine","LP14355-9","Creatinine","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatinine","http://purl.obolibrary.org/obo/CHEBI_16737","creatinine",NA,"LOINC provided mappings"
"14959-1",4,"Microalbumin/Creatinine [Mass Ratio] in Urine","LP14355-9","Creatinine","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatinine","http://purl.obolibrary.org/obo/CHEBI_16737","creatinine",NA,"LOINC provided mappings"
"15013-6",4,"Alkaline phosphatase.bone/Alkaline phosphatase.total in Serum or Plasma","LP15346-7","Alkaline phosphatase","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Alkaline phosphatase","http://purl.obolibrary.org/obo/PR_000023540","",NA,"BioPortal mapping"
"15014-4",4,"Alkaline phosphatase.intestinal/Alkaline phosphatase.total in Serum or Plasma","LP15346-7","Alkaline phosphatase","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Alkaline phosphatase","http://purl.obolibrary.org/obo/PR_000023540","",NA,"BioPortal mapping"
"15015-1",4,"Alkaline phosphatase.liver/Alkaline phosphatase.total in Serum or Plasma","LP29289-3","Liver","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Liver","http://purl.obolibrary.org/obo/UBERON_0002107","",NA,"BioPortal mapping"
"15015-1",4,"Alkaline phosphatase.liver/Alkaline phosphatase.total in Serum or Plasma","LP15346-7","Alkaline phosphatase","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Alkaline phosphatase","http://purl.obolibrary.org/obo/PR_000023540","",NA,"BioPortal mapping"
"15016-9",4,"Alkaline phosphatase.placental/Alkaline phosphatase.total in Serum or Plasma","LP15346-7","Alkaline phosphatase","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Alkaline phosphatase","http://purl.obolibrary.org/obo/PR_000023540","",NA,"BioPortal mapping"
"15048-2",4,"Creatine kinase.BB/Creatine kinase.total in Serum or Plasma by Electrophoresis","LP15510-8","Creatine kinase","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatine kinase","http://purl.obolibrary.org/obo/PR_000029971","",NA,"BioPortal mapping"
"15048-2",4,"Creatine kinase.BB/Creatine kinase.total in Serum or Plasma by Electrophoresis","LP15509-0","Creatine","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatine","http://purl.obolibrary.org/obo/CHEBI_16919","creatine",NA,"LOINC provided mappings"
"15049-0",4,"Creatine kinase.MM/Creatine kinase.total in Serum or Plasma by Electrophoresis","LP15510-8","Creatine kinase","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatine kinase","http://purl.obolibrary.org/obo/PR_000029971","",NA,"BioPortal mapping"
"15049-0",4,"Creatine kinase.MM/Creatine kinase.total in Serum or Plasma by Electrophoresis","LP15509-0","Creatine","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatine","http://purl.obolibrary.org/obo/CHEBI_16919","creatine",NA,"LOINC provided mappings"
"15060-7",4,"Enolase.neuron specific [Mass/volume] in Serum or Plasma","LP15026-5","Enolase","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Enolase","http://purl.obolibrary.org/obo/PR_000022518","",NA,"BioPortal mapping"
"15066-4",4,"Fatty acids.nonesterified [Moles/volume] in Serum or Plasma","LP14488-8","Fatty acids","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Fatty acids","http://purl.obolibrary.org/obo/CHEBI_35366","fatty acid",NA,"LOINC provided mappings"
"15151-4",4,"Aspergillus fumigatus 3 Ab [Presence] in Serum by Immune diffusion (ID)","LP13947-4","Aspergillus fumigatus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Aspergillus fumigatus","http://purl.obolibrary.org/obo/NCBITaxon_746128","Aspergillus fumigatus",NA,"LOINC provided mappings"
"15195-1",4,"CD3-CD19+ cells [#/volume] in Blood","LP14624-8","CD3","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD3","http://purl.obolibrary.org/obo/PR_000001018","",NA,"BioPortal mapping"
"15195-1",4,"CD3-CD19+ cells [#/volume] in Blood","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"15195-1",4,"CD3-CD19+ cells [#/volume] in Blood","LP14624-8","CD3","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD3","http://purl.obolibrary.org/obo/PR_000001020","",NA,"BioPortal mapping"
"15195-1",4,"CD3-CD19+ cells [#/volume] in Blood","LP17759-9","CD19","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD19","http://purl.obolibrary.org/obo/OGG_3000000930","",NA,"BioPortal mapping"
