"FK_LAB_RESULT_ITEM_ID","LAB_RESULT_ITEM_CODE","LAB_RESULT_ITEM_DESCRIPTION","LOINC","""COUNT(1)"""
4861038,ABC.,Absolute Basophil Count,"704-7",4265925
4862149,Bili Total,Bilirubin Total,"1975-2",3830948
4860077,ALT,Alanine Aminotransferase,"1742-6",3637131
4862121,AST,Aspartate Aminotransferase,"1920-8",3631776
4862073,Alk Phos,Alkaline Phosphatase,"6768-6",3625278
4862705,Magnesium,Magnesium Level,"19123-9",3322951
4862069,Albumin Lvl,Albumin Level,"1751-7",3155642
4855633,INR,International Normalization Ratio,"6301-6",3131581
4855947,PT,Prothrombin Time,"5902-2",3130930
4855955,PTT,Partial Thromboplastin Time,"14979-9",3031269
4866199,Total Protein,Protein Total,"2885-2",2980998
163041,SODIUM,C SODIUM,"2951-2",2778533
170473,CREATININE,C CREATININE,"2160-0",2759592
170474,CHLORIDE,C CHLORIDE,"2075-0",2727370
159159,HEMOGLOBIN,C HEMOGLOBIN,"718-7",2649090
163092,CALCIUM,C CALCIUM,"17861-6",2648109
163044,CARBON DIOXIDE,C CARBON DIOXIDE,"2028-9",2636616
170467,HEMATOCRIT,C HEMATOCRIT,"4544-3",2628642
14155003,nrAction,Rule Trigger (Non Reportable),,2595668
4860505,GFR-AA,GFR-African American,"48643-1",2535253
4861505,GFR-NAA,GFR-Non African American,"48642-3",2535245
159166,POTASSIUM,C POTASSIUM,"2823-3",2513309
163023,MEAN CELLULAR VOLUME,C MCV,"787-2",2505032
163026,PLATELETS,C PLATELETS,"777-3",2504960
159161,RDW,C RDW,"788-0",2504405
163020,RED BLOOD CELLS,C RED BLOOD CELLS,"789-8",2504024
159158,WBC,C WHITE BLOOD CELLS,"6690-2",2502306
159160,MEAN CELLULAR HEMOGLOBIN,C MCH,"785-6",2491958
170468,MEAN CELLULAR HEMOGLOBIN CONCENTRATION,C MCHC,"786-4",2491850
159165,UREA NITROGEN,C UREA NITROGEN,"3094-0",2305916
4862893,Phosphorus,Phosphorus Level,"2777-1",2229273
170471,BILIRUBIN TOTAL,"C BILIRUBIN, TOTAL","1975-2",1929418
163029,ALBUMIN,C ALBUMIN,"1751-7",1907506
159163,ALKALINE PHOSPHATASE,C ALKALINE PHOSPHATASE,"6768-6",1904704
170469,PROTEIN TOTAL,"C PROTEIN, TOTAL","2885-2",1891597
163032,ALT,C ALT (ALANINE AMINOTRANSFERASE),"1742-6",1891540
170470,AST,C AST (ASPARTATE AMINOTRANSFERASE),"1920-8",1887440
163002,GLUCOSE,C GLUCOSE,"2345-7",1829280
227245,Hemoglobin,Hemoglobin Result HUP/PMC,,1773154
228244,Hematocrit (HCT),Hematocrit (HCT) Result HUP/PMC,,1711406
231971,Potassium Level,MCODES_Potassium Level HHUP/PPMC,,1653882
170743,% LYMPHOCYTES,C % LYMPHOCYTES,"736-9",1641970
171085,% EOSINOPHILS,C % EOSINOPHILS,"713-8",1641939
163851,% MONOCYTES,C % MONOCYTES,"5905-5",1641877
164877,% BASOPHILS,C % BASOPHILS,"706-2",1641872
159435,% NEUTROPHILS,C % NEUTROPHILS,"770-8",1641838
234918,Sodium Level,MCODES_Sodium Level HUP/PPMC,,1638759
4860866,pCO2 Art,P CO2 Arterial,"2019-8",1606417
4858888,pH Art,pH Arterial,"2744-1",1603972
4862134,Base Excess Art,Base Excess Arterial,"1925-7",1601653
4858908,pO2 Art,P O2 Arterial,"2703-7",1601518
4859532,HCO3 Art,Bicarbonate Arterial,"1960-4",1597929
228429,WBC (CBC),WBC Result HUP/PMC,,1560029
228116,Platelet Count (PLT),MCODES_PlateletCount(PLT)Result HUP/PMC,,1559943
226165,RBC,RBC Result HUP/PMC,,1559886
227099,MCHC,MCHC Result HUP/PMC,,1559879
226099,MCH,MCH RESULTS HUP/PMC,,1559857
228099,MCV,MCV Result HUP/PMC,,1559856
226469,RDW.,Red Cell Distribution Result HUP/PMC,,1559851
4860802,O2Sat Meas Art,O2Sat Measured Arterial,"2708-6",1523339
167040,# EOSINOPHILS,C # EOSINOPHILS (AUTO),"711-2",1500905
160596,# BASOPHILS,C # BASOPHILS (AUTO),"704-7",1500829
160595,# NEUTROPHILS,C # NEUTROPHILS (AUTO),"751-8",1498320
171903,# MONOCYTES,C # MONOCYTES (AUTO),"742-7",1476473
171402,# LYMPHOCYTES,C # LYMPHOCYTES (AUTO),"6690-2",1476144
232551,CO2 Content,MCODES_CO2 Content HUP/PPMC,,1443175
176109,VSS PLAN ID,VSS PLAN ID,,1413861
167456,VSS LAST TX DATE TIME,VSS LAST TX DATE TIME,,1413861
160803,VSS DOSE GIVEN TO DATE,VSS DOSE GIVEN TO DATE,,1413861
167454,VSS ENERGY,VSS ENERGY,,1413861
160801,VSS COURSE NAME,VSS COURSE NAME,,1413861
176110,VSS MACHINE ID,VSS MACHINE ID,,1413861
160802,VSS FRACTIONS PRESCRIBED,VSS FRACTIONS PRESCRIBED,,1413861
176111,VSS TOTAL DOSE LIMIT,VSS TOTAL DOSE LIMIT,,1413861
167452,VSS FRACTIONS TREATED,VSS FRACTIONS TREATED,,1413861
231351,"Creatinine, Serum",MCODES_Creatinine Level,,1411992
4858091,Anti-B,Anti-B,,1405592
4859091,Anti-A,Anti-A,,1405394
230008,BUN,MCODES_BUN HUP/PPMC,,1394650
4861149,Bilirubin Dir,Bilirubin Direct,"1968-7",1394426
4858148,Bili Indirect,Bilirubin Indirect,"1971-1",1393835
166762,GLUCOSE POINT OF CARE,C WHOLE BLOOD GLUCOSE,"41653-7",1390395
167072,EGFR AFRICAN AMERICAN,C ESTIMATED GFR AA,"48643-1",1378177
160612,EGFR NON-AFRICAN AMERICAN,C ESTIMATED GFR NON-AA,"48642-3",1376708
4856999,RhCon,Rh Control,,1372346
4858791,nr%NRBC,%Nucleated RBCs (Non Reportable),,1363545
4859136,B cells,B cells,,1349729
4857020,A1 Cells,A1 cells,,1349646
4861093,Anti-D4,Anti-D4,,1338636
4856093,Anti-D5,Anti-D5,,1338587
230911,POC Plasma Glucose,LEAN POC Plasma Glucose,,1290670
234202,POC Plasma Glucose.,MCODES_POC Plasma Glucose. ResultHUP/PMC,,1286494
4857967,RBC Morph,RBC Morphology,"6742-1",1262734
4861902,PLT Est,PLT Estimate,"9317-9",1183061
4856564,History Check,History Check,,1173567
4857791,nrNRBC,Nucleated RBCs (Non Reportable),,1128456
4865020,SC 1,Screen Cell 1,,1098528
4869020,SC 2,Screen Cell 2,,1098216
226037,.Chloride..,Chloride,,1068081
4868238,UA Bili,Urine Bilirubin,"20505-4",1058093
4866238,UA Appear,Urine Appearance,"5767-9",1054610
4866239,UA Color,Urine Color,"5778-6",1053106
4870240,UA Leuk Est,Urine Leukocyte Esterase,"5799-2",1052195
4870243,UA Urobilinogen,Urine Urobilinogen,"20405-7",1051825
4870238,UA Blood,Urine Blood,,1051665
4864242,UA Protein,Urine Protein,"5804-0",1051627
4866240,UA Ketones,Urine Ketones,"5797-6",1051582
4868241,UA Nitrite,Urine Nitrite,"5802-4",1051551
4870241,UA pH,Urine pH,"5803-2",1051535
4864240,UA Glucose,Urine Glucose,"5792-7",1051502
4864243,UA Spec Grav,Urine Specific Gravity,"5811-5",1051092
170534,INR,C INR (INTERNATIONAL NORMALIZED RATIO),"6301-6",1046777
4859201,Calcium Ionized,Calcium Level Ionized,"1994-3",985535
11479003,ANION GAP,ANION GAP,"33037-3",984339
4863028,Segs Man,Segmented Neutrophils Manual,"769-0",984031
4862737,Monocyte Man,Monocyte Manual,"744-3",983731
4855701,Lymph Man,Lymphocyte Manual,"737-7",983686
4861416,Eos Man,Eosinophil Manual,"714-6",980934
4858133,Band Man,Band Manual,"764-1",979167
4867028,Seg Abs,Absolute Segmented Neutrophil Count,"768-2",978056
4860136,Basophil Man,Basophil Manual,"707-0",977664
4858700,Lymph Abs,Absolute Lymphocyte Count,"732-8",977115
4856737,Monocyte Abs,Absolute Monocyte Count,"743-5",976957
4862415,Eos Abs,Absolute Eosinophil Count,"712-0",973945
4859133,Band Abs,Absolute Band Count,"763-3",971948
8828007,Radiance Loc Hb,Radiance Loc Hb,,971907
8830008,Radiance Loc Ca,Radiance Loc Ca,,971906
8829006,Radiance Loc K,Radiance Loc K,,971879
4862135,Basophil Abs,Absolute Basophil Count,"705-4",970586
231542,Glucose,MCODES_Glucose HUP-O PAH-Result,,950431
4869217,Triglycerides,Triglycerides,"2571-8",901298
159226,PT,PT (PROTHROMBIN TIME),"5902-2",897164
4863222,TSH,Thryoid Stimulating Hormone,"3016-3",894310
170492,CHOLESTEROL,C TOTAL CHOLESTEROL,"2093-3",891177
163098,TRIGLYCERIDES,C TRIGLYCERIDES,"2571-8",873839
4862726,Microcytes,Microcytes,"741-9",866286
4858704,Macrocytes,Macrocytes,"738-5",861414
4862600,Hypochrom,Hypochromasia,"728-6",846510
4856265,Chol,Cholesterol Total,"2093-3",820768
159789,CHOLESTEROL HIGH DENSITY LIPOPROTEIN,C HDL CHOLESTEROL,"2085-9",811683
237166,APTT,MCODES_APTT,,809915
163137,CHOLESTEROL CALCULATED LOW DENSITY LIPOPROTEIN,C LDL CHOLESTEROL,"13457-7",806834
4855671,LDL Chol (Calc.),LDL Cholesterol,"13457-7",802820
170937,SPF,SPF,,800939
4862535,HDL Chol,HDL Cholesterol,"2085-9",795423
4860789,NRBC Man,Nucleated RBC Manual,"19048-8",782813
228159,Prothrombin Time,MCODES_Prothrombin Time,,775584
226106,International Normalized Units,International Normalized Units,,775319
4857661,Lactic Acid Lvl,Lactic Acid Level,"32693-4",766262
4867304,WBC Corr,WBC Corrected,"12227-5",764598
5631003,nrParasite Rev,nrParasite Rev,,747627
4865242,UA RBC,Urine RBC,"13945-1",746851
4863244,UA WBC,Urine WBC,"5821-4",746504
4858826,Ovalocytes,Ovalocytes,"774-0",743102
4860207,Carboxyhemo,Carboxyhemoglobin,"20563-3",733362
4856801,O2 Hgb,O2 Hemoglobin,"2714-4",712943
4860043,ABORh Interp HUP,ABORh Interpretation HUP,,706935
4857043,ABSC Interp,Antibody Screen Interpretation,,703300
159352,THYROID STIMULATING HORMONE,C THYROID STIMULATING HORMONE,"3016-3",703032
4865310,Whole Bd Glu,Whole Blood Glucose,"2339-0",700007
4861723,Methemoglob Qn,Methemoglobin Quantitative,"2614-6",695663
4858428,EXM Interp,Electronic Crossmatch Interp,,688996
4860801,O2 Content,O2 Content,"34163-6",688680
163095,MAGNESIUM,MAGNESIUM,"19123-9",679617
4858702,LyVar Man,LyVar Man,"735-1",672674
4864042,Site,Site Draw,,668002
4859702,LyVar Abs,Absolute Lymph Variant Count,"734-4",665246
4858910,Polychro,Polychromasia,"10378-8",662079
3769002,DIAGNOSIS,DIAGNOSIS,,660547
4856661,Lactic Acid Art,Lactic Acid Arterial,"2518-9",658644
8830004,ABL Spec Art,ABL Spec Art,"66746-9",656871
8828003,FIO2 Art.,FIO2 Art.,"3150-0",656064
8829003,Hgb Arterial,Hgb Arterial,"30313-1",653476
8830005,Hct Arterial,Hct Arterial,"32354-3",653410
8829004,Sodium Art,Sodium Art,"32717-1",652231
8828005,Chloride Art,Chloride Art,"41650-3",652123
8827005,Ca Ion Art,Ca Ion Art,"34581-9",651794
8829005,Glu Art,Glu Art,"41651-1",651055
4859553,Hgb A1c,Hemoglobin A1c,"4548-4",650014
8830006,Potassium Art,Potassium Art,"32713-0",646823
228418,Report Status:,Report Status:,,642056
228344,Radiologist 1:,Radiologist 1:,,633357
226353,Accession No:,Accession No:,,633134
8827003,Temp Art,Temp Art,"8310-5",615219
11445004,GLUCOSE,GLUCOSE,"2345-7",613903
8828006,pCO2 (T) Arterial,pCO2 (T) Arterial,"34705-4",612517
8830007,pH (T) Arterial,pH (T) Arterial,"2744-1",611079
4859867,pCO2 Ven,P CO2 Venous,"2021-4",601221
4861909,pO2 Ven,P O2 Venous,"2705-2",598699
8827006,pO2 (T) Arterial,pO2 (T) Arterial,"2703-7",597320
4862894,pH Ven,pH Venous,"2746-6",594114
4860135,Base Excess Ven,Base Excess Venous,"1927-3",593711
4857532,HCO3 Ven,Bicarbonate Venous,"14627-4",592418
4867239,UA Bacteria,Urine Bacteria,"5769-5",581868
4868237,UA Squam Epithelial,Urine Squamous Epithelial Cells,"11277-1",562504
3767001,QRS DURATION,QRS DURATION,,554297
3771001,VENTRICULAR RATE,VENTRICULAR RATE,,554275
3772001,QTC CALCULATION(BEZET),QTC CALCULATION(BEZET),,554270
3770001,Q-T INTERVAL,Q-T INTERVAL,,554270
3769001,ATRIAL RATE,ATRIAL RATE,,552128
3771002,T AXIS,T AXIS,,542099
3774002,R AXIS,R AXIS,,542094
227100,O2 Sat Meas Art,MCODES_O2 Sat Meas Art Result,,527617
4860229,Cells Counted,Cells Counted,"11282-1",525508
4858800,O2 Sat Ven,Oxygen Saturation Venous,"2711-0",521965
4862668,LDH,Lactate Dehydrogenase,"14804-9",513492
4866237,UA Mucous,Urine Mucous,"8247-9",512788
170654,PTT,C PTT (ACTIVATED PARTIAL THROMBOPLASTIN TIME),"14979-9",506888
3773001,P-R INTERVAL,P-R INTERVAL,,494152
171913,FINAL,C FINAL,,491001
11355018,Non-HDL Cholesterol,Non-HDL Cholesterol,,487398
232539,Magnesium Level,MCODES_Magnesium Level HUP/PPMC,,487370
3768002,P AXIS,P AXIS,,479627
4861457,FiO2 Vented,FiO2 Vented,"19994-3",479258
4865219,Troponin-T,Troponin-T,"6598-7",460746
170481,UA PROTEIN,C UA PROTEIN,"20454-5",457011
159171,GLUCOSE URINE,C UA GLUCOSE,"25428-4",456826
159174,UA LEUKOCYTE ESTERASE,C UA LEUKOCYTE ESTERASE,"5799-2",448246
170482,UA NITRITE,C UA NITRITE,"5802-4",448221
163062,UA BLOOD,C UA BLOOD,"5794-3",448077
163059,UA KETONES,C UA KETONES,"2514-8",447983
159175,UA COLOR,C UA COLOR,"5778-6",445378
170483,UA APPEARANCE,C UA APPEARANCE,"5767-9",445167
163065,UROBILINOGEN,C UA UROBILINOGEN,,443802
159173,UA PH,C UA PH,"5803-2",443795
170479,BILIRUBIN URINE,C UA BILIRUBIN,"5770-3",443513
228228,Neutrophils %,Neutrophils % Result HUP/PMC,,434201
226093,Lymph %,Lymph % Result HUP/PMC,,434073
227088,Monocytes %,Monocytes %  Results HUP/PMC,,434041
226284,Eosinophils %,Eosinophils % Result HUP/PMC,,434033
228316,Basophils %,Basophils % Results HUP/PMC,,434021
159944,UREA NITROGEN,Q UREA NITROGEN,"3094-0",431822
171323,CLINICAL INFORMATION,CLINICAL INFORMATION,"55752-0",426420
4870174,Teardrops,Teardrop Cells,"7791-7",421394
228174,pH Ven,pH (ABG)- pH Ven Results 100252,,420207
226152,PCO2,PCO2 (ABG),,419468
226211,HCO3,HCO3 (Bicarbonate) ABG,,419468
227148,PO2,PO2 (ABG),,419467
227318,Base Excess,Base Excess (ABG),,419467
4864127,Specimen Received,Specimen Received,"31208-2",419101
230272,Calcium,MCODES_Calcium Level HUP/PPMC,,417496
159172,UA SPECIFIC GRAVITY,C UA SPECIFIC GRAVITY,"5811-5",416377
228249,Site (prompt),MCODES_Site (prompt) for ABG Result,,411930
171256,ALT,Q ALT (ALANINE AMINOTRANSFERASE),"1742-6",401194
4864023,Schistocytes,Schistocytes,"800-3",396760
159946,CALCIUM,Q CALCIUM,"17861-6",391873
159920,CREATININE,Q CREATININE,"2160-0",391625
171353,HEMOGLOBIN A1C,C HEMOGLOBIN A1C,"4548-4",388605
11844075,HEMOGLOBIN,HGB (CCH),"718-7",386960
11844074,HEMATOCRIT,HCT (CCH),"4544-3",386953
11841224,WBC,WBC (CCH),"6690-2",386953
11841133,PLATELETS,PLATELET CNT (CCH),"777-3",386951
11845143,RDW,RDW (CCH),"788-0",386950
11843142,RED BLOOD CELLS,RBC (CCH),"789-8",386950
11845094,MEAN CELLULAR HEMOGLOBIN CONCENTRATION,MCHC (CCH),"786-4",386950
11841094,MEAN CELLULAR HEMOGLOBIN,MCH (CCH),"785-6",386950
11842095,MEAN CELLULAR VOLUME,MCV (CCH),"787-2",386950
171904,EGFR AFRICAN AMERICAN,Q ESTIMATED GFR AA,"48643-1",384610
176034,EGFR NON-AFRICAN AMERICAN,Q ESTIMATED GFR NON-AA,"48642-3",384350
159164,BILIRUBIN DIRECT,"C BILIRUBIN, DIRECT","1968-7",381563
4865021,SC 3,Screening Cell 3,,379364
165375,GLUCOSE,Q GLUCOSE,"2345-7",379153
171252,BUN/CREATININE,Q BUN/CREATININE,"3097-3",378392
165378,SODIUM,Q SODIUM,"2951-2",378345
159945,POTASSIUM,Q POTASSIUM,"2823-3",377922
165381,CARBON DIOXIDE,Q CARBON DIOXIDE,"2028-9",377710
171253,CHLORIDE,Q CHLORIDE,"2075-0",377233
4860044,Ab Scrn Interp,ECHO Antibody Screen Interp,,375493
230233,Total Bilirubin,MCODES_Total Bilirubin HUP/PPMC,,375109
230921,Phosphate,MCODES_Phosphorus Level HUP/PPMC,,371694
233953,ALT,MCODES_Alanine Aminotransferase HUP/PPMC,,369473
229360,Alkaline Phosphatase,MCODES_Alkaline Phosphatase HUP/PPMC,,369010
4868171,Tacrolimus Lvl,Tacrolimus Level,"11253-2",368348
233737,AST,LEAN Aspartate Aminotransferase,,366460
11845070,EGFR AFRICAN AMERICAN,GFR AFRICAN AMERICAN (CCH),"69405-9",364774
4866197,Total CK,Creatine Kinase,"2157-6",363112
11841070,EGFR NON-AFRICAN AMERICAN,GFR (NON-AFRICAN AMERICAN) (CCH),"48642-3",363026
11844070,GFR COMMENT,GFR COMMENT (CCH),"69405-9",361944
11845047,CREATININE,CREATININE (CCH),"2160-0",361913
11845086,POTASSIUM,POTASSIUM (CCH),"2823-3",361739
11844034,UREA NITROGEN,BUN (CCH),"3094-0",361710
159885,HUP RADIOLOGY REPORT,HUP RADIOLOGY REPORT,,361665
233167,Glucose (Point of Care),Glucose (POC) PAH,,361207
159197,GLOBULIN,Q GLOBULIN,"10834-0",360637
11841071,GLUCOSE,GLUCOSE (CCH),"2345-7",360560
11841035,CALCIUM,CALCIUM (CCH),"17861-6",360455
11841114,SODIUM,SODIUM (CCH),"2951-2",359839
11842043,CHLORIDE,CHLORIDE (CCH),"2075-0",359771
11844044,CARBON DIOXIDE,CARBON DIOXIDE (CCH),"1963-8",359771
4861689,Lipase Lvl,Lipase Level,"3040-3",358797
4866264,Uric Acid,Uric Acid,"3084-1",357499
170908,RBC MORPHOLOGY,C RBC MORPHOLOGY,"6742-1",357071
227293,Calculated Lymphs,Calculated Lymphs,,356543
226293,Calculated Granulocytes,Calculated Granulocytes,,356542
228293,Calculated Mononuclears,Calculated Mononuclears,,356540
4858511,Globulin,Globulin,"2336-6",351976
171254,PROTEIN TOTAL,"Q PROTEIN, TOTAL","2885-2",351536
4857065,A/G Ratio,Albumin/Globulin Ratio,"1759-0",349959
165387,BILIRUBIN TOTAL,"Q BILIRUBIN, TOTAL","1975-2",348543
11844123,NUCLEATED RBC PERCENT,NRBC (CCH),"58413-6",347834
165267,RED BLOOD CELLS,Q RED BLOOD CELLS,"789-8",347814
11845123,NUCLEATED RBC ABSOLUTE,ABS NRBC (CCH),"771-6",347793
165273,RDW,Q RDW,"788-0",347774
159908,HEMOGLOBIN,Q HEMOGLOBIN,"718-7",347489
165270,MEAN CELLULAR VOLUME,Q MCV,"787-2",347061
171216,HEMATOCRIT,Q HEMATOCRIT,"4544-3",347050
159909,MEAN CELLULAR HEMOGLOBIN,Q MCH,"785-6",346792
165303,ALKALINE PHOSPHATASE,Q ALKALINE PHOSPHAT*,"6768-6",345457
171255,ALBUMIN GLOBULIN RATIO,Q ALBUMIN/GLOBULIN *,"1759-0",345197
171215,WBC,Q WHITE BLOOD CELLS,"6690-2",334136
159910,PLATELETS,Q PLATELETS,"777-3",332789
171217,MEAN CELLULAR HEMOGLOBIN CONCENTRATION,Q MCHC,"786-4",332686
14157004,ANC Manual,ANC Manual,,327808
4866014,RPR screen,RPR-Test for Syphilis,"20507-0",316937
227016,ABO Rh Interpretation,ABO Rh Interpretation,,314087
4855093,Anti-D,Anti-D,,311586
8835003,ABL Spec Venous,ABL Spec Venous,"66746-9",311367
159170,PLATELET ESTIMATE,C PLATELET ESTIMATE (MANUAL),"9317-9",310778
8837003,nrABL FIO2 Ven,nrABL FIO2 Ven,,308878
8836004,O2Hb Venous,O2Hb Venous,"71836-1",307505
8835004,CarboxyHgb Ven,CarboxyHgb Ven,"2032-1",307337
8837004,MetHgb Venous,MetHgb Venous,"2617-9",305482
164874,# LYMPHOCYTES MANUAL,C # LYMPHOCYTES (MANUAL),"732-8",296748
159619,# MONOCYTES MANUAL,C # MONOCYTES (MANUAL),"743-5",296327
4860482,GC-I,Interpretation (KiZone) for GC,"24111-7",294932
4861331,CT-I,Interpretation (KiZone) for CT,"21613-5",294749
163122,LACTATE,LACTIC ACID,"32693-4",290065
167070,GLUCOSE,C GLUCOSE LVL,"2345-7",289938
160611,UREA NITROGEN,ZZ UREA NITROGEN,"3094-0",287226
8838003,nrABL Temp Ven,nrABL Temp Ven,,286156
226470,Red Blood Cell Morphology,Red Blood Cell Morphology,,285899
4864248,UCRE mg per dL,Urine Creatinine mg/dL,"35674-1",284616
171218,# NEUTROPHILS,Q # NEUTROPHILS,"751-8",283666
171219,# EOSINOPHILS,Q # EOSINOPHILS,"711-2",283569
159911,# MONOCYTES,Q # MONOCYTES,"742-7",283560
165279,# BASOPHILS,Q # BASOPHILS,"704-7",283556
165276,# LYMPHOCYTES,Q # LYMPHOCYTES,"731-0",280363
11845054,DIFFERENTIAL TYPE,DIFFERENTIAL TYPE (CCH),"49024-3",277202
11845055,% EOSINOPHILS,EOSINOPHIL (CCH),"713-8",275987
11845020,# LYMPHOCYTES,ABS LYMPHOCTYE (CCH),"731-0",275985
11842120,% NEUTROPHILS,NEUTROPHIL (CCH),"770-8",275983
11841029,% BASOPHILS,BASOPHIL (CCH),"706-2",275983
11845090,% LYMPHOCYTES,LYMPHOCYTE (CCH),"736-9",275983
11844022,# MONOCYTES,ABS MONOCYTE (CCH),"742-7",275983
11844101,% MONOCYTES,MONOCYTE (CCH),"5905-5",275982
11842023,# NEUTROPHILS,ABS NEUTROPHIL (CCH),"751-8",275982
11843016,# EOSINOPHILS,ABS EOSINOPHIL (CCH),"711-2",275982
11845014,# BASOPHILS,ABS BASOPHIL AUTO (CCH),"704-7",275981
170926,% LYMPHOCYTES MANUAL,C % LYMPHOCYTES (MANUAL),"737-7",274759
170925,% NEUTROPHILS MANUAL,C % SEGMENTED NEUTROPHILS (MANUAL),"769-0",274689
159777,# NEUTROPHILS MANUAL,C # SEGMENTED NEUTROPHILS (MANUAL),"768-2",274548
11841134,GLUCOSE POINT OF CARE,POINT OF CARE BLOOD GLUCOSE (CCH),"41653-7",274305
164397,# BAND NEUTROPHILS,C # BAND NEUTROPHILS (MANUAL),"763-3",274158
170927,% MONOCYTES MANUAL,C % MONOCYTES (MANUAL),"744-3",273132
4866187,Tidal Volume,Tidal Volume,"20112-9",271873
228350,FIO2 Vented (Prompt),FIO2 Vented Result 0500501,,270588
226135,Platelet Estimate,Platelet Estimate,,268596
1412077,ALBUMIN,Q ALBUMIN,"1751-7",267604
4864296,VitD 25OH Total,VitD 25OH Total,"62292-8",262608
4863172,Target Cells,Target Cell,"10381-2",261904
164493,ABORH INTERPRETATION,ABO RH INTERPRETATIO,,259225
170493,LACTATE DEHYDROGENASE,C LACTATE DEHYDROGENAS,"14804-9",259022
4862006,"25OH Vit D2","25OH Vit D2","49054-0",258138
4857006,"25OH Vit D3","25OH Vit D3","1989-3",258094
4860566,HIV,HIV,,257996
170484,BACTERIA URINE,BACTERIA,,257970
164403,% EOSINOPHILS MANUAL,C % EOSINOPHILS (MANUAL),"714-6",256104
164349,MICROCYTES,C MICROCYTES,"741-9",255465
233110,Chest 1 View PA HUP,Chest 1 View PA HUP,,254236
226331,Antibody Screen Interpretation (A),Antibody Screen Interpretation (A),,252966
4856790,nrIMGB2dd,IM Gran Bands2 Dif Display (Non Reportable),,252573
639003,UA LEUKOCYTE ESTERASE,UA LEUKOCYTE ESTERASE,"5799-2",251891
11917675,CREATININE,"CREATININE, SERUM (LC)","2160-0",251729
637004,UA BLOOD,UA BLOOD,"5794-3",251687
638004,UA NITRITE,UA NITRITE,"5802-4",250221
11922672,UREA NITROGEN,BUN (LC),"3094-0",249805
11925029,EGFR NON AFRICAN AMERICAN,EGFR IF NONAFRICN AM (LC),"48642-3",249492
11924766,BUN/CREATININE,BUN/CREATININE RATIO (LC),,249475
11921024,EGFR AFRICAN AMERICAN,EGFR IF AFRICN AM (LC),"48643-1",249410
11916663,CALCIUM,"CALCIUM, SERUM (LC)","17861-6",249315
159602,MACROCYTES,C MACROCYTES,"738-5",249203
11918664,GLUCOSE,"GLUCOSE, SERUM (LC)","2345-7",248252
11922676,POTASSIUM,"POTASSIUM, SERUM (LC)","2823-3",248132
11924674,SODIUM,"SODIUM, SERUM (LC)","2951-2",248115
11845079,% IMMATURE GRANULOCYTES,IMMATURE GRANULOCYTES (CCH),"71695-1",248024
11841079,# IMMATURE GRANULOCYTES,ABS IMMATURE GRANULOCYTES (CCH),"53115-2",247999
11918669,CHLORIDE,"CHLORIDE, SERUM (LC)","2075-0",247844
11917679,CARBON DIOXIDE,"CARBON DIOXIDE, TOTAL (LC)","2028-9",247817
4930001,PROSOLV REPORT TEXT,PROSOLV REPORT TEXT,,247257
159948,AST,Q AST (ASPARTATE AMINOTRANSFERASE),"1920-8",247191
4928005,FINAL REPORT DATE,FINAL REPORT DATE,,246876
4866027,Sed Rate,Sedimentation Rate,"30341-2",245218
637002,UA PROTEIN,UA PROTEIN,"20454-5",243847
638002,GLUCOSE URINE,UA GLUCOSE,"25428-4",242523
