FK_LAB_RESULT_ITEM_ID,LAB_RESULT_ITEM_CODE,LAB_RESULT_ITEM_DESCRIPTION,LOINC,ordercount,loinc_uri
159165,UREA NITROGEN,C UREA NITROGEN,3094-0,2305916,http://purl.bioontology.org/ontology/LNC/3094-0
4862893,Phosphorus,Phosphorus Level,2777-1,2229273,http://purl.bioontology.org/ontology/LNC/2777-1
170471,BILIRUBIN TOTAL,"C BILIRUBIN, TOTAL",1975-2,1929418,http://purl.bioontology.org/ontology/LNC/1975-2
163029,ALBUMIN,C ALBUMIN,1751-7,1907506,http://purl.bioontology.org/ontology/LNC/1751-7
159163,ALKALINE PHOSPHATASE,C ALKALINE PHOSPHATASE,6768-6,1904704,http://purl.bioontology.org/ontology/LNC/6768-6
170469,PROTEIN TOTAL,"C PROTEIN, TOTAL",2885-2,1891597,http://purl.bioontology.org/ontology/LNC/2885-2
163032,ALT,C ALT (ALANINE AMINOTRANSFERASE),1742-6,1891540,http://purl.bioontology.org/ontology/LNC/1742-6
170470,AST,C AST (ASPARTATE AMINOTRANSFERASE),1920-8,1887440,http://purl.bioontology.org/ontology/LNC/1920-8
163002,GLUCOSE,C GLUCOSE,2345-7,1829280,http://purl.bioontology.org/ontology/LNC/2345-7
170743,% LYMPHOCYTES,C % LYMPHOCYTES,736-9,1641970,http://purl.bioontology.org/ontology/LNC/736-9
171085,% EOSINOPHILS,C % EOSINOPHILS,713-8,1641939,http://purl.bioontology.org/ontology/LNC/713-8
163851,% MONOCYTES,C % MONOCYTES,5905-5,1641877,http://purl.bioontology.org/ontology/LNC/5905-5
164877,% BASOPHILS,C % BASOPHILS,706-2,1641872,http://purl.bioontology.org/ontology/LNC/706-2
159435,% NEUTROPHILS,C % NEUTROPHILS,770-8,1641838,http://purl.bioontology.org/ontology/LNC/770-8
4860866,pCO2 Art,P CO2 Arterial,2019-8,1606417,http://purl.bioontology.org/ontology/LNC/2019-8
4858888,pH Art,pH Arterial,2744-1,1603972,http://purl.bioontology.org/ontology/LNC/2744-1
4862134,Base Excess Art,Base Excess Arterial,1925-7,1601653,http://purl.bioontology.org/ontology/LNC/1925-7
4858908,pO2 Art,P O2 Arterial,2703-7,1601518,http://purl.bioontology.org/ontology/LNC/2703-7
4859532,HCO3 Art,Bicarbonate Arterial,1960-4,1597929,http://purl.bioontology.org/ontology/LNC/1960-4
4860802,O2Sat Meas Art,O2Sat Measured Arterial,2708-6,1523339,http://purl.bioontology.org/ontology/LNC/2708-6
167040,# EOSINOPHILS,C # EOSINOPHILS (AUTO),711-2,1500905,http://purl.bioontology.org/ontology/LNC/711-2
160596,# BASOPHILS,C # BASOPHILS (AUTO),704-7,1500829,http://purl.bioontology.org/ontology/LNC/704-7
160595,# NEUTROPHILS,C # NEUTROPHILS (AUTO),751-8,1498320,http://purl.bioontology.org/ontology/LNC/751-8
171903,# MONOCYTES,C # MONOCYTES (AUTO),742-7,1476473,http://purl.bioontology.org/ontology/LNC/742-7
171402,# LYMPHOCYTES,C # LYMPHOCYTES (AUTO),6690-2,1476144,http://purl.bioontology.org/ontology/LNC/6690-2
4861149,Bilirubin Dir,Bilirubin Direct,1968-7,1394426,http://purl.bioontology.org/ontology/LNC/1968-7
4858148,Bili Indirect,Bilirubin Indirect,1971-1,1393835,http://purl.bioontology.org/ontology/LNC/1971-1
166762,GLUCOSE POINT OF CARE,C WHOLE BLOOD GLUCOSE,41653-7,1390395,http://purl.bioontology.org/ontology/LNC/41653-7
167072,EGFR AFRICAN AMERICAN,C ESTIMATED GFR AA,48643-1,1378177,http://purl.bioontology.org/ontology/LNC/48643-1
160612,EGFR NON-AFRICAN AMERICAN,C ESTIMATED GFR NON-AA,48642-3,1376708,http://purl.bioontology.org/ontology/LNC/48642-3
4857967,RBC Morph,RBC Morphology,6742-1,1262734,http://purl.bioontology.org/ontology/LNC/6742-1
4861902,PLT Est,PLT Estimate,9317-9,1183061,http://purl.bioontology.org/ontology/LNC/9317-9
4868238,UA Bili,Urine Bilirubin,20505-4,1058093,http://purl.bioontology.org/ontology/LNC/20505-4
4866238,UA Appear,Urine Appearance,5767-9,1054610,http://purl.bioontology.org/ontology/LNC/5767-9
4866239,UA Color,Urine Color,5778-6,1053106,http://purl.bioontology.org/ontology/LNC/5778-6
4870240,UA Leuk Est,Urine Leukocyte Esterase,5799-2,1052195,http://purl.bioontology.org/ontology/LNC/5799-2
4870243,UA Urobilinogen,Urine Urobilinogen,20405-7,1051825,http://purl.bioontology.org/ontology/LNC/20405-7
4864242,UA Protein,Urine Protein,5804-0,1051627,http://purl.bioontology.org/ontology/LNC/5804-0
4866240,UA Ketones,Urine Ketones,5797-6,1051582,http://purl.bioontology.org/ontology/LNC/5797-6
4868241,UA Nitrite,Urine Nitrite,5802-4,1051551,http://purl.bioontology.org/ontology/LNC/5802-4
4870241,UA pH,Urine pH,5803-2,1051535,http://purl.bioontology.org/ontology/LNC/5803-2
4864240,UA Glucose,Urine Glucose,5792-7,1051502,http://purl.bioontology.org/ontology/LNC/5792-7
4864243,UA Spec Grav,Urine Specific Gravity,5811-5,1051092,http://purl.bioontology.org/ontology/LNC/5811-5
170534,INR,C INR (INTERNATIONAL NORMALIZED RATIO),6301-6,1046777,http://purl.bioontology.org/ontology/LNC/6301-6
4859201,Calcium Ionized,Calcium Level Ionized,1994-3,985535,http://purl.bioontology.org/ontology/LNC/1994-3
11479003,ANION GAP,ANION GAP,33037-3,984339,http://purl.bioontology.org/ontology/LNC/33037-3
4863028,Segs Man,Segmented Neutrophils Manual,769-0,984031,http://purl.bioontology.org/ontology/LNC/769-0
4862737,Monocyte Man,Monocyte Manual,744-3,983731,http://purl.bioontology.org/ontology/LNC/744-3
4855701,Lymph Man,Lymphocyte Manual,737-7,983686,http://purl.bioontology.org/ontology/LNC/737-7
4861416,Eos Man,Eosinophil Manual,714-6,980934,http://purl.bioontology.org/ontology/LNC/714-6
4858133,Band Man,Band Manual,764-1,979167,http://purl.bioontology.org/ontology/LNC/764-1
4867028,Seg Abs,Absolute Segmented Neutrophil Count,768-2,978056,http://purl.bioontology.org/ontology/LNC/768-2
4860136,Basophil Man,Basophil Manual,707-0,977664,http://purl.bioontology.org/ontology/LNC/707-0
4858700,Lymph Abs,Absolute Lymphocyte Count,732-8,977115,http://purl.bioontology.org/ontology/LNC/732-8
4856737,Monocyte Abs,Absolute Monocyte Count,743-5,976957,http://purl.bioontology.org/ontology/LNC/743-5
4862415,Eos Abs,Absolute Eosinophil Count,712-0,973945,http://purl.bioontology.org/ontology/LNC/712-0
4859133,Band Abs,Absolute Band Count,763-3,971948,http://purl.bioontology.org/ontology/LNC/763-3
4862135,Basophil Abs,Absolute Basophil Count,705-4,970586,http://purl.bioontology.org/ontology/LNC/705-4
4869217,Triglycerides,Triglycerides,2571-8,901298,http://purl.bioontology.org/ontology/LNC/2571-8
159226,PT,PT (PROTHROMBIN TIME),5902-2,897164,http://purl.bioontology.org/ontology/LNC/5902-2
4863222,TSH,Thryoid Stimulating Hormone,3016-3,894310,http://purl.bioontology.org/ontology/LNC/3016-3
170492,CHOLESTEROL,C TOTAL CHOLESTEROL,2093-3,891177,http://purl.bioontology.org/ontology/LNC/2093-3
163098,TRIGLYCERIDES,C TRIGLYCERIDES,2571-8,873839,http://purl.bioontology.org/ontology/LNC/2571-8
4862726,Microcytes,Microcytes,741-9,866286,http://purl.bioontology.org/ontology/LNC/741-9
4858704,Macrocytes,Macrocytes,738-5,861414,http://purl.bioontology.org/ontology/LNC/738-5
4862600,Hypochrom,Hypochromasia,728-6,846510,http://purl.bioontology.org/ontology/LNC/728-6
4856265,Chol,Cholesterol Total,2093-3,820768,http://purl.bioontology.org/ontology/LNC/2093-3
159789,CHOLESTEROL HIGH DENSITY LIPOPROTEIN,C HDL CHOLESTEROL,2085-9,811683,http://purl.bioontology.org/ontology/LNC/2085-9
163137,CHOLESTEROL CALCULATED LOW DENSITY LIPOPROTEIN,C LDL CHOLESTEROL,13457-7,806834,http://purl.bioontology.org/ontology/LNC/13457-7
4855671,LDL Chol (Calc.),LDL Cholesterol,13457-7,802820,http://purl.bioontology.org/ontology/LNC/13457-7
4862535,HDL Chol,HDL Cholesterol,2085-9,795423,http://purl.bioontology.org/ontology/LNC/2085-9
4860789,NRBC Man,Nucleated RBC Manual,19048-8,782813,http://purl.bioontology.org/ontology/LNC/19048-8
4857661,Lactic Acid Lvl,Lactic Acid Level,32693-4,766262,http://purl.bioontology.org/ontology/LNC/32693-4
4867304,WBC Corr,WBC Corrected,12227-5,764598,http://purl.bioontology.org/ontology/LNC/12227-5
4865242,UA RBC,Urine RBC,13945-1,746851,http://purl.bioontology.org/ontology/LNC/13945-1
4863244,UA WBC,Urine WBC,5821-4,746504,http://purl.bioontology.org/ontology/LNC/5821-4
4858826,Ovalocytes,Ovalocytes,774-0,743102,http://purl.bioontology.org/ontology/LNC/774-0
4860207,Carboxyhemo,Carboxyhemoglobin,20563-3,733362,http://purl.bioontology.org/ontology/LNC/20563-3
4856801,O2 Hgb,O2 Hemoglobin,2714-4,712943,http://purl.bioontology.org/ontology/LNC/2714-4
159352,THYROID STIMULATING HORMONE,C THYROID STIMULATING HORMONE,3016-3,703032,http://purl.bioontology.org/ontology/LNC/3016-3
4865310,Whole Bd Glu,Whole Blood Glucose,2339-0,700007,http://purl.bioontology.org/ontology/LNC/2339-0
4861723,Methemoglob Qn,Methemoglobin Quantitative,2614-6,695663,http://purl.bioontology.org/ontology/LNC/2614-6
4860801,O2 Content,O2 Content,34163-6,688680,http://purl.bioontology.org/ontology/LNC/34163-6
163095,MAGNESIUM,MAGNESIUM,19123-9,679617,http://purl.bioontology.org/ontology/LNC/19123-9
4858702,LyVar Man,LyVar Man,735-1,672674,http://purl.bioontology.org/ontology/LNC/735-1
4859702,LyVar Abs,Absolute Lymph Variant Count,734-4,665246,http://purl.bioontology.org/ontology/LNC/734-4
4858910,Polychro,Polychromasia,10378-8,662079,http://purl.bioontology.org/ontology/LNC/10378-8
4856661,Lactic Acid Art,Lactic Acid Arterial,2518-9,658644,http://purl.bioontology.org/ontology/LNC/2518-9
8830004,ABL Spec Art,ABL Spec Art,66746-9,656871,http://purl.bioontology.org/ontology/LNC/66746-9
8828003,FIO2 Art.,FIO2 Art.,3150-0,656064,http://purl.bioontology.org/ontology/LNC/3150-0
8829003,Hgb Arterial,Hgb Arterial,30313-1,653476,http://purl.bioontology.org/ontology/LNC/30313-1
8830005,Hct Arterial,Hct Arterial,32354-3,653410,http://purl.bioontology.org/ontology/LNC/32354-3
8829004,Sodium Art,Sodium Art,32717-1,652231,http://purl.bioontology.org/ontology/LNC/32717-1
8828005,Chloride Art,Chloride Art,41650-3,652123,http://purl.bioontology.org/ontology/LNC/41650-3
8827005,Ca Ion Art,Ca Ion Art,34581-9,651794,http://purl.bioontology.org/ontology/LNC/34581-9
8829005,Glu Art,Glu Art,41651-1,651055,http://purl.bioontology.org/ontology/LNC/41651-1
4859553,Hgb A1c,Hemoglobin A1c,4548-4,650014,http://purl.bioontology.org/ontology/LNC/4548-4
8830006,Potassium Art,Potassium Art,32713-0,646823,http://purl.bioontology.org/ontology/LNC/32713-0
8827003,Temp Art,Temp Art,8310-5,615219,http://purl.bioontology.org/ontology/LNC/8310-5
11445004,GLUCOSE,GLUCOSE,2345-7,613903,http://purl.bioontology.org/ontology/LNC/2345-7
8828006,pCO2 (T) Arterial,pCO2 (T) Arterial,34705-4,612517,http://purl.bioontology.org/ontology/LNC/34705-4
8830007,pH (T) Arterial,pH (T) Arterial,2744-1,611079,http://purl.bioontology.org/ontology/LNC/2744-1
4859867,pCO2 Ven,P CO2 Venous,2021-4,601221,http://purl.bioontology.org/ontology/LNC/2021-4
4861909,pO2 Ven,P O2 Venous,2705-2,598699,http://purl.bioontology.org/ontology/LNC/2705-2
8827006,pO2 (T) Arterial,pO2 (T) Arterial,2703-7,597320,http://purl.bioontology.org/ontology/LNC/2703-7
4862894,pH Ven,pH Venous,2746-6,594114,http://purl.bioontology.org/ontology/LNC/2746-6
4860135,Base Excess Ven,Base Excess Venous,1927-3,593711,http://purl.bioontology.org/ontology/LNC/1927-3
4857532,HCO3 Ven,Bicarbonate Venous,14627-4,592418,http://purl.bioontology.org/ontology/LNC/14627-4
4867239,UA Bacteria,Urine Bacteria,5769-5,581868,http://purl.bioontology.org/ontology/LNC/5769-5
4868237,UA Squam Epithelial,Urine Squamous Epithelial Cells,11277-1,562504,http://purl.bioontology.org/ontology/LNC/11277-1
4860229,Cells Counted,Cells Counted,11282-1,525508,http://purl.bioontology.org/ontology/LNC/11282-1
4858800,O2 Sat Ven,Oxygen Saturation Venous,2711-0,521965,http://purl.bioontology.org/ontology/LNC/2711-0
4862668,LDH,Lactate Dehydrogenase,14804-9,513492,http://purl.bioontology.org/ontology/LNC/14804-9
4866237,UA Mucous,Urine Mucous,8247-9,512788,http://purl.bioontology.org/ontology/LNC/8247-9
170654,PTT,C PTT (ACTIVATED PARTIAL THROMBOPLASTIN TIME),14979-9,506888,http://purl.bioontology.org/ontology/LNC/14979-9
4861457,FiO2 Vented,FiO2 Vented,19994-3,479258,http://purl.bioontology.org/ontology/LNC/19994-3
4865219,Troponin-T,Troponin-T,6598-7,460746,http://purl.bioontology.org/ontology/LNC/6598-7
170481,UA PROTEIN,C UA PROTEIN,20454-5,457011,http://purl.bioontology.org/ontology/LNC/20454-5
159171,GLUCOSE URINE,C UA GLUCOSE,25428-4,456826,http://purl.bioontology.org/ontology/LNC/25428-4
159174,UA LEUKOCYTE ESTERASE,C UA LEUKOCYTE ESTERASE,5799-2,448246,http://purl.bioontology.org/ontology/LNC/5799-2
170482,UA NITRITE,C UA NITRITE,5802-4,448221,http://purl.bioontology.org/ontology/LNC/5802-4
163062,UA BLOOD,C UA BLOOD,5794-3,448077,http://purl.bioontology.org/ontology/LNC/5794-3
163059,UA KETONES,C UA KETONES,2514-8,447983,http://purl.bioontology.org/ontology/LNC/2514-8
159175,UA COLOR,C UA COLOR,5778-6,445378,http://purl.bioontology.org/ontology/LNC/5778-6
170483,UA APPEARANCE,C UA APPEARANCE,5767-9,445167,http://purl.bioontology.org/ontology/LNC/5767-9
159173,UA PH,C UA PH,5803-2,443795,http://purl.bioontology.org/ontology/LNC/5803-2
170479,BILIRUBIN URINE,C UA BILIRUBIN,5770-3,443513,http://purl.bioontology.org/ontology/LNC/5770-3
159944,UREA NITROGEN,Q UREA NITROGEN,3094-0,431822,http://purl.bioontology.org/ontology/LNC/3094-0
171323,CLINICAL INFORMATION,CLINICAL INFORMATION,55752-0,426420,http://purl.bioontology.org/ontology/LNC/55752-0
4870174,Teardrops,Teardrop Cells,7791-7,421394,http://purl.bioontology.org/ontology/LNC/7791-7
4864127,Specimen Received,Specimen Received,31208-2,419101,http://purl.bioontology.org/ontology/LNC/31208-2
159172,UA SPECIFIC GRAVITY,C UA SPECIFIC GRAVITY,5811-5,416377,http://purl.bioontology.org/ontology/LNC/5811-5
171256,ALT,Q ALT (ALANINE AMINOTRANSFERASE),1742-6,401194,http://purl.bioontology.org/ontology/LNC/1742-6
4864023,Schistocytes,Schistocytes,800-3,396760,http://purl.bioontology.org/ontology/LNC/800-3
159946,CALCIUM,Q CALCIUM,17861-6,391873,http://purl.bioontology.org/ontology/LNC/17861-6
159920,CREATININE,Q CREATININE,2160-0,391625,http://purl.bioontology.org/ontology/LNC/2160-0
171353,HEMOGLOBIN A1C,C HEMOGLOBIN A1C,4548-4,388605,http://purl.bioontology.org/ontology/LNC/4548-4
11844075,HEMOGLOBIN,HGB (CCH),718-7,386960,http://purl.bioontology.org/ontology/LNC/718-7
11844074,HEMATOCRIT,HCT (CCH),4544-3,386953,http://purl.bioontology.org/ontology/LNC/4544-3
11841224,WBC,WBC (CCH),6690-2,386953,http://purl.bioontology.org/ontology/LNC/6690-2
11841133,PLATELETS,PLATELET CNT (CCH),777-3,386951,http://purl.bioontology.org/ontology/LNC/777-3
11841094,MEAN CELLULAR HEMOGLOBIN,MCH (CCH),785-6,386950,http://purl.bioontology.org/ontology/LNC/785-6
11845094,MEAN CELLULAR HEMOGLOBIN CONCENTRATION,MCHC (CCH),786-4,386950,http://purl.bioontology.org/ontology/LNC/786-4
11842095,MEAN CELLULAR VOLUME,MCV (CCH),787-2,386950,http://purl.bioontology.org/ontology/LNC/787-2
11845143,RDW,RDW (CCH),788-0,386950,http://purl.bioontology.org/ontology/LNC/788-0
11843142,RED BLOOD CELLS,RBC (CCH),789-8,386950,http://purl.bioontology.org/ontology/LNC/789-8
171904,EGFR AFRICAN AMERICAN,Q ESTIMATED GFR AA,48643-1,384610,http://purl.bioontology.org/ontology/LNC/48643-1
176034,EGFR NON-AFRICAN AMERICAN,Q ESTIMATED GFR NON-AA,48642-3,384350,http://purl.bioontology.org/ontology/LNC/48642-3
159164,BILIRUBIN DIRECT,"C BILIRUBIN, DIRECT",1968-7,381563,http://purl.bioontology.org/ontology/LNC/1968-7
165375,GLUCOSE,Q GLUCOSE,2345-7,379153,http://purl.bioontology.org/ontology/LNC/2345-7
171252,BUN/CREATININE,Q BUN/CREATININE,3097-3,378392,http://purl.bioontology.org/ontology/LNC/3097-3
165378,SODIUM,Q SODIUM,2951-2,378345,http://purl.bioontology.org/ontology/LNC/2951-2
159945,POTASSIUM,Q POTASSIUM,2823-3,377922,http://purl.bioontology.org/ontology/LNC/2823-3
165381,CARBON DIOXIDE,Q CARBON DIOXIDE,2028-9,377710,http://purl.bioontology.org/ontology/LNC/2028-9
171253,CHLORIDE,Q CHLORIDE,2075-0,377233,http://purl.bioontology.org/ontology/LNC/2075-0
4868171,Tacrolimus Lvl,Tacrolimus Level,11253-2,368348,http://purl.bioontology.org/ontology/LNC/11253-2
11845070,EGFR AFRICAN AMERICAN,GFR AFRICAN AMERICAN (CCH),69405-9,364774,http://purl.bioontology.org/ontology/LNC/69405-9
4866197,Total CK,Creatine Kinase,2157-6,363112,http://purl.bioontology.org/ontology/LNC/2157-6
11841070,EGFR NON-AFRICAN AMERICAN,GFR (NON-AFRICAN AMERICAN) (CCH),48642-3,363026,http://purl.bioontology.org/ontology/LNC/48642-3
11844070,GFR COMMENT,GFR COMMENT (CCH),69405-9,361944,http://purl.bioontology.org/ontology/LNC/69405-9
11845047,CREATININE,CREATININE (CCH),2160-0,361913,http://purl.bioontology.org/ontology/LNC/2160-0
11845086,POTASSIUM,POTASSIUM (CCH),2823-3,361739,http://purl.bioontology.org/ontology/LNC/2823-3
11844034,UREA NITROGEN,BUN (CCH),3094-0,361710,http://purl.bioontology.org/ontology/LNC/3094-0
159197,GLOBULIN,Q GLOBULIN,10834-0,360637,http://purl.bioontology.org/ontology/LNC/10834-0
11841071,GLUCOSE,GLUCOSE (CCH),2345-7,360560,http://purl.bioontology.org/ontology/LNC/2345-7
11841035,CALCIUM,CALCIUM (CCH),17861-6,360455,http://purl.bioontology.org/ontology/LNC/17861-6
11841114,SODIUM,SODIUM (CCH),2951-2,359839,http://purl.bioontology.org/ontology/LNC/2951-2
11844044,CARBON DIOXIDE,CARBON DIOXIDE (CCH),1963-8,359771,http://purl.bioontology.org/ontology/LNC/1963-8
11842043,CHLORIDE,CHLORIDE (CCH),2075-0,359771,http://purl.bioontology.org/ontology/LNC/2075-0
4861689,Lipase Lvl,Lipase Level,3040-3,358797,http://purl.bioontology.org/ontology/LNC/3040-3
4866264,Uric Acid,Uric Acid,3084-1,357499,http://purl.bioontology.org/ontology/LNC/3084-1
170908,RBC MORPHOLOGY,C RBC MORPHOLOGY,6742-1,357071,http://purl.bioontology.org/ontology/LNC/6742-1
4858511,Globulin,Globulin,2336-6,351976,http://purl.bioontology.org/ontology/LNC/2336-6
171254,PROTEIN TOTAL,"Q PROTEIN, TOTAL",2885-2,351536,http://purl.bioontology.org/ontology/LNC/2885-2
4857065,A/G Ratio,Albumin/Globulin Ratio,1759-0,349959,http://purl.bioontology.org/ontology/LNC/1759-0
165387,BILIRUBIN TOTAL,"Q BILIRUBIN, TOTAL",1975-2,348543,http://purl.bioontology.org/ontology/LNC/1975-2
11844123,NUCLEATED RBC PERCENT,NRBC (CCH),58413-6,347834,http://purl.bioontology.org/ontology/LNC/58413-6
165267,RED BLOOD CELLS,Q RED BLOOD CELLS,789-8,347814,http://purl.bioontology.org/ontology/LNC/789-8
11845123,NUCLEATED RBC ABSOLUTE,ABS NRBC (CCH),771-6,347793,http://purl.bioontology.org/ontology/LNC/771-6
165273,RDW,Q RDW,788-0,347774,http://purl.bioontology.org/ontology/LNC/788-0
159908,HEMOGLOBIN,Q HEMOGLOBIN,718-7,347489,http://purl.bioontology.org/ontology/LNC/718-7
165270,MEAN CELLULAR VOLUME,Q MCV,787-2,347061,http://purl.bioontology.org/ontology/LNC/787-2
171216,HEMATOCRIT,Q HEMATOCRIT,4544-3,347050,http://purl.bioontology.org/ontology/LNC/4544-3
159909,MEAN CELLULAR HEMOGLOBIN,Q MCH,785-6,346792,http://purl.bioontology.org/ontology/LNC/785-6
165303,ALKALINE PHOSPHATASE,Q ALKALINE PHOSPHAT*,6768-6,345457,http://purl.bioontology.org/ontology/LNC/6768-6
171255,ALBUMIN GLOBULIN RATIO,Q ALBUMIN/GLOBULIN *,1759-0,345197,http://purl.bioontology.org/ontology/LNC/1759-0
171215,WBC,Q WHITE BLOOD CELLS,6690-2,334136,http://purl.bioontology.org/ontology/LNC/6690-2
159910,PLATELETS,Q PLATELETS,777-3,332789,http://purl.bioontology.org/ontology/LNC/777-3
171217,MEAN CELLULAR HEMOGLOBIN CONCENTRATION,Q MCHC,786-4,332686,http://purl.bioontology.org/ontology/LNC/786-4
