PK_ORDER_ITEM_ID,assembled,tidied,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983384,Antibody screen,Antibody screen,Antibody screen assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593558,Aspartate aminotransferase,AST,AST assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602883,"Bilirubin, direct",Direct bilirubin,Direct bilirubin assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977909,"Bilirubin, direct",Direct bilirubin,Direct bilirubin assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627040,"Bilirubin, direct",Direct bilirubin,Direct bilirubin assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614289,"Bilirubin, total",Direct bilirubin,Direct bilirubin assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115241,blood gas by co-oximetry,Co-oximetry,Co-oximetry assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116759,blood gas by co-oximetry,Co-oximetry,Co-oximetry assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977480,blood gas by co-oximetry,Co-oximetry,Co-oximetry assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977637,blood gas by co-oximetry,Co-oximetry,Co-oximetry assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602148,blood gas by co-oximetry,Co-oximetry,Co-oximetry assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096599,"blood gas, arterial",Arterial blood gas,Arterial blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096585,"blood gas, arterial",Arterial blood gas,Arterial blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115246,"blood gas, arterial",Arterial blood gas,Arterial blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116776,"blood gas, arterial",Arterial blood gas,Arterial blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975296,"blood gas, arterial, unvented",Unvented arterial blood gas,Unvented arterial blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979262,"blood gas, arterial, unvented",Unvented arterial blood gas,Unvented arterial blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600409,"blood gas, arterial, unvented, with pH",Unvented arterial blood gas & pH,Unvented arterial blood gas & pH assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600452,"blood gas, arterial, unvented, with pH",Unvented arterial blood gas & pH,Unvented arterial blood gas & pH assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977162,"blood gas, arterial, vented",Vented arterial blood gas,Vented arterial blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978355,"blood gas, arterial, vented",Vented arterial blood gas,Vented arterial blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974340,"blood gas, venous",Venous blood gas,Venous blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594136,"blood gas, venous",Venous blood gas,Venous blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977448,"blood gas, venous",Venous blood gas,Venous blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981050,"blood gas, venous",Venous blood gas,Venous blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608934,"blood gas, venous",Venous blood gas,Venous blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096760,"blood gas, venous",Venous blood gas,Venous blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096596,"blood gas, venous",Venous blood gas,Venous blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115239,"blood gas, venous",Venous blood gas,Venous blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116854,"blood gas, venous",Venous blood gas,Venous blood gas assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621272,C-reactive protein,C-reactive protein,C-reactive protein assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593697,C-reactive protein,C-reactive protein,C-reactive protein assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602617,C-reactive protein (high sensitivity: cardiac or neonatal),High sensitivity C-reactive protein,High sensitivity C-reactive protein assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977555,C-reactive protein (high sensitivity: cardiac or neonatal),High sensitivity C-reactive protein,High sensitivity C-reactive protein assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978696,C-reactive protein (high sensitivity: cardiac or neonatal),High sensitivity C-reactive protein,High sensitivity C-reactive protein assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978448,C-reactive protein (high sensitivity: cardiac or neonatal),High sensitivity C-reactive protein,High sensitivity C-reactive protein assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055674,C-reactive protein (non-cardiac),C-reactive protein,C-reactive protein assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059970,C-reactive protein (non-cardiac),C-reactive protein,C-reactive protein assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980340,Cardiac enzymes (panel?),Cardiac panel,Cardiac panel assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981624,Cardiac enzymes (panel?),Cardiac panel,Cardiac panel assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617064,Cardiac panel,Cardiac panel,Cardiac panel assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979076,Cardiac panel,Cardiac panel,Cardiac panel assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977202,Cardiolipin antibody screen,Cardiolipin antibody screen,Cardiolipin antibody screen assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976619,Cardiolipin antibody screen,Cardiolipin antibody screen,Cardiolipin antibody screen assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609043,CBC,CBC,CBC assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977398,CBC w platelets,CBC w platelets,CBC w platelets assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979407,CBC w platelets,CBC w platelets,CBC w platelets assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616180,CBC w platelets,CBC w platelets,CBC w platelets assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977303,CBC w platelets,CBC w platelets,CBC w platelets assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608200,CBC w platelets and differential,CBC w diff & platelets,CBC w diff & platelets assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977282,CBC with automated diff.,CBC & automated differential,CBC & automated differential assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975471,CBC with automated diff.,CBC & automated differential,CBC & automated differential assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606712,CBC with differential,CBC & differential,CBC & differential assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205801,CBC with differential,CBC & differential,CBC & differential assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612150,CBC with electronic diff. ( = automated?) and heme eval/profile,"CBC, electronic differential & heme profile","CBC, electronic differential & heme profile assay for ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594289,CBC with electronic diff. ( = automated?) and heme eval/profile,"CBC, electronic differential & heme profile","CBC, electronic differential & heme profile assay for ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593358,CBC with electronic diff. ( = automated?) and heme eval/profile,"CBC, electronic differential & heme profile","CBC, electronic differential & heme profile assay for ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611772,CBC with heme eval/profile,CBC with heme profile,CBC with heme profile assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602158,CBC with heme eval/profile,CBC with heme profile,CBC with heme profile assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597945,CBC with heme eval/profile,CBC with heme profile,CBC with heme profile assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593607,CBC with heme eval/profile,CBC with heme profile,CBC with heme profile assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983209,CD19+ (total B cells),CD19+ total B cell,CD19+ total B cell assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983680,CD3,CD3,CD3 assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983126,CD4,CD8,CD8 assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613083,"Cell coubnt, bodily fluid",Bodily fluid cell count,Bodily fluid cell count assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598907,"Cell coubnt, bodily fluid",Bodily fluid cell count,Bodily fluid cell count assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054854,"Cell count, CSF",CSF cell count,CSF cell count assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028139,"Cell count, CSF",CSF cell count,CSF cell count assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973634,Chem11,Comprehensive metabolic panel,Comprehensive metabolic panel assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975515,Chem16,CHEM16,CHEM16 assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975508,"Chem8 (= metablic panel, basic?), POC",Basic metabolic panel,Basic metabolic panel assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977814,Chloride,Chloride,Chloride assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977481,Chloride,Chloride,Chloride assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593353,Chloride,Chloride,Chloride assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975319,Chloride,Chloride,Chloride assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597070,Chloride,Chloride,Chloride assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977897,Chloride,Chloride,Chloride assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616981,"Chloride, serum",Serum chloride,Serum chloride assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613181,"Chloride, serum",Serum chloride,Serum chloride assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593127,Cholesterol,Cholesterol,Cholesterol assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977501,"Cholesterol, bodily fluid",Bodily fluid cholesterol,Bodily fluid cholesterol assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594342,"Cholesterol, HDL",HDL,HDL assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975040,"Cholesterol, LDL direct",Direct LDL,Direct LDL assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594409,"Cholesterol, LDL direct",Direct LDL,Direct LDL assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977399,"Cholesterol, total",Total cholesterol,Total cholesterol assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594007,Creatine Kinase,Creatine Kinase,Creatine Kinase assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977602,Creatine Kinase,Creatine Kinase,Creatine Kinase assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977393,Creatine Kinase,Creatine Kinase,Creatine Kinase assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975602,Creatine Kinase,Creatine Kinase,Creatine Kinase assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626969,Creatine Kinase,Creatine Kinase,Creatine Kinase assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977557,"Creatine Kinase, MB",MB Creatine kinase,MB Creatine kinase assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614889,"Creatine Kinase, MB",MB Creatine kinase,MB Creatine kinase assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977578,"Creatine Kinase, MB",MB Creatine kinase,MB Creatine kinase assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977889,"Creatine Kinase, MB",MB Creatine kinase,MB Creatine kinase assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981496,"Creatine Kinase, MB",MB Creatine kinase,MB Creatine kinase assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594043,"Creatine Kinase, MB",MB Creatine kinase,MB Creatine kinase assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978162,"Creatine, 24 hour",24-hour creatinine,24-hour creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593373,"Creatine, 24 hour",24-hour creatinine,24-hour creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607099,"Creatine, serum",Serum creatinine,Serum creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593369,"Creatine, serum",Serum creatinine,Serum creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595089,Creatineine clearance,Creatinine clearance,Creatinine clearance assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655367,"Creatineine clearance, 24 hour",24-hour creatinine clearance,24-hour creatinine clearance assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602882,Creatinine,Creatinine,Creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975730,Creatinine,Creatinine,Creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943272,Creatinine,Creatinine,Creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977700,Creatinine,Creatinine,Creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978025,"Creatinine, POC",POC Creatinine,POC Creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652315,"Creatinine, POC",POC Creatinine,POC Creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977620,"Creatinine, urine",Urine creatinine,Urine creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593806,"Creatinine, urine, random",Random urine creatinine,Random urine creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609023,"Creatinine, urine, random",Random urine creatinine,Random urine creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977683,"Creatinine, urine, random",Random urine creatinine,Random urine creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977707,"Creatinine, whole blood",Whole blood creatinine,Whole blood creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979678,"Creatinine, whole blood",Whole blood creatinine,Whole blood creatinine assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625890,diff. (for CBC?),CBC differential,CBC differential assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594351,diff. (for CBC?),CBC differential,CBC differential assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977687,diff. (for CBC?),CBC differential,CBC differential assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598897,diff. (for CBC?),CBC differential,CBC differential assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975058,"diff. (for CBC?), bodily fluid",Bodily fluid CBC differential,Bodily fluid CBC differential assay for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
