"PK_LAB_RESULT_ITEM_ID","LAB_RESULT_ITEM_CODE","LAB_RESULT_ITEM_DESCRIPTION","LOINC","LAB_RESULT_COUNT","obo","loinc.obo"
159458,"SYPHILIS MICROHEMAGG","SYPHILIS MICROHEMAGG",NA,7,NA,NA
159460,"SEROLOGY SPECIMEN","C SEROLOGY SPECIMEN","31208-2",154,NA,NA
159464,"URINE URIC ACID MG/D","URINE URIC ACID MG/D",NA,239,NA,NA
159469,"ANTIBODY SCREEN","C ANTIBODY SCREEN INTE",NA,275368,NA,NA
159478,"LD-4","C LD-4","2545-2",680,NA,NA
159484,"U-17 KETOSTEROIDS MG","U-17 KETOSTEROIDS MG","6766-0",13,NA,NA
159488,"ANTIBODY SCREEN","ANTIBODY SCREEN OB I",NA,6639,NA,NA
159492,"FACTOR VIII ASSAY","C FACTOR VIII ASSAY","38521-1",1755,NA,NA
159493,"FACTOR X ASSAY","C FACTOR X ASSAY","3218-5",157,NA,NA
159502,"OSMOTIC FRAGILITY TE","OSMOTIC FRAGILITY TEST","4667-2",7,NA,NA
159537,"POTASSIUM FLUID","C FLUID POTASSIUM","2821-7",30,"CHEBI:26217","CHEBI:26217"
159541,"MEAN CELLULAR VOLUME","C MCV (SPECIAL)","787-2",7188,NA,NA
159543,"DRVV RATIO","C DRVV RATIO",NA,681,NA,NA
159545,"FACTOR VIII MULTIMER","C FACTOR VIII MULTIMER",NA,66,NA,NA
159552,"PLATELET SEC COLLAGE","C PLATELET SEC COLLAGE",NA,34,NA,NA
159562,"HIT ELISA INTERPRETA","C HIT ELISA INTERPRETA","69049-5",189,NA,NA
159567,"B LOCUS HLA TYPING","B LOCUS HLA TYPING",NA,136,NA,NA
159593,"COLD AGGLUTININ INTERPRETATION","C COLD AGGLUTININ INTERPRETATION",NA,130,NA,NA
159596,"HEMOGLOBIN C","HEMOGLOBIN C",NA,74,NA,NA
159599,"% MONOCYTES (SPECIAL DIFF)","C % MONOCYTES (SPECIAL DIFF)","744-3",3970,NA,NA
159602,"MACROCYTES","C MACROCYTES","738-5",274378,NA,NA
159605,"AUER RODS","C AUER RODS","11281-3",152,NA,NA
159612,"CHEM CSF TUBE #","CHEM CSF TUBE #","19157-7",231,NA,NA
159630,"QUININE","QUININE",NA,995,NA,NA
159633,"CAFFEINE","CAFFEINE",NA,320,NA,NA
159635,"FLUOXETINE","C FLUOXETINE","19470-4",8886,NA,NA
159642,"SPECIAL SPECIMEN TYPE","C SPECIAL SPECIMEN TYPE","66746-9",7115,NA,NA
159647,"POST METHIONINE HOMOCYSTEINE","C POST METHIONINE HOMOCYSTEINE",NA,52,NA,NA
159654,"BICARBONATE","HCO3",NA,23,NA,NA
159655,"UA PH","Q UA PH","5803-2",68441,NA,NA
159656,"MODE","MODE","20124-4",22,NA,NA
159665,"HEPATITIS A IGM","HEPATITIS A IGM",NA,64,NA,NA
159666,"RAST 1 ALLERGEN","C RAST 1 ALLERGEN","33536-4",2628,NA,NA
159683,"METHADONE","C METHADONE","16199-2",3580,NA,NA
159710,"RAPID CULTURE RESULT","RAPID CULTURE RESULT",NA,6,NA,NA
159725,"WET PREP","WET PREP",NA,11,NA,NA
159768,"HEPARIN ASSAY POST A","C HEPARIN ASSAY POST A","52123-7",35,NA,NA
159776,"TARGET CELLS","C TARGET CELLS","10381-2",53114,NA,NA
159786,"LOW DENSITY LIPOPROT","LOW DENSITY LIPOPROT",NA,8,NA,NA
159802,"METHEMOGLOBIN","METHEMOGLOBIN","2614-6",166892,NA,NA
159803,"DENGUE FEVER AB IGG,","C DENGUE FEVER AB IGG,","23991-3",101,NA,NA
159807,"LOG HCV (COPIES/ML)","C LOG HCV (COPIES/ML)",NA,13557,NA,NA
159809,"HEPC BY PCR INTERPRE","HEPC BY PCR INTERPRE",NA,5770,NA,NA
159820,"US CASTS","UA CASTS",NA,4495,NA,NA
159823,"CRYOGLOBULIN QNT SCR","C CRYOGLOBULIN QNT SCR","12203-6",1318,NA,NA
159831,"TRYPTASE","TRYPTASE","21582-2",1802,NA,NA
159834,"TISSUE TRANSGLUTAMIN","TISSUE TRANSGLUTAMIN",NA,69,NA,NA
159840,"EMS","EMS",NA,10299,NA,NA
159843,"FSH","Q FSH","15067-2",11667,NA,NA
159846,"LFOLLICLE4","L FOLLICLE 4",NA,1937,NA,NA
159847,"LOVARYTOT","L OVARY TOTAL SIZE",NA,3457,NA,NA
159851,"ALKALINE PHOSPHATASE","C ALKALINE PHOSPHATASE, LIVER","15015-1",1321,NA,NA
