value,count,OBO,status,molent,ion,specimen,specimen_OBO,units,other details,indirect,direct,notes,24,POC,total
"Creatinine, Serum",69,CHEBI:16737,,,,,,,,,,,#VALUE!,,
Creatine Kinase,19,,,,,,,,,,,,#VALUE!,,
CREATININE CLEARANCE,2,,,,,,,,,,,,#VALUE!,,
Creatinine Serum,2,CHEBI:16737,,,,,,,,,,,#VALUE!,,
"Creatine, U umol/mL CRT",1,CHEBI:16737,,,,,,,,,,,#VALUE!,,
Creatinine BF,1,,,,,,,,,,,,#VALUE!,,
UCRE mg per dL,56,,,,,,,,,,,,#VALUE!,,
BUN/CREATININE,41,,,,,,,,,,,,#VALUE!,,
UPRO/CRE Ratio,29,,,,,,,,,,,,#VALUE!,,
Microalb/Creat,8,,,,,,,,,,,,#VALUE!,,
Potassium Art,162,CHEBI:26217,,TRUE,,,UBERON:0013755,,,,,,#VALUE!,,
POTASSIUM ARTERIAL,67,CHEBI:26217,,TRUE,,,UBERON:0013755,,,,,,#VALUE!,,
Potassium Level,67,CHEBI:26217,,TRUE,,,,,,,,,#VALUE!,,
"Potassium, Serum",2,CHEBI:26217,,TRUE,,,,,,,,,#VALUE!,,
Potassium BF,1,CHEBI:26217,,TRUE,,,,,,,,,#VALUE!,,
Sodium Art,168,CHEBI:26712,,TRUE,,,UBERON:0013755,,,,,,#VALUE!,,
SODIUM ARTERIAL,70,CHEBI:26712,,TRUE,,,UBERON:0013755,,,,,,#VALUE!,,
Sodium Ven,1,CHEBI:26712,,TRUE,,,UBERON:0013756,,,,,,#VALUE!,,
SODIUM VENOUS,1,CHEBI:26712,,TRUE,,,UBERON:0013756,,,,,,#VALUE!,,
Sodium Level,68,CHEBI:26712,,TRUE,,,,,,,,,#VALUE!,,
"Sodium, Serum",2,CHEBI:26712,,TRUE,,,,,,,,,#VALUE!,,
Sodium BF,1,CHEBI:26712,,TRUE,,,,,,,,,#VALUE!,,
Ur Sodium,27,CHEBI:26712,,TRUE,,,,,,,,,#VALUE!,,
Chloride Art,168,CHEBI:17996,,,TRUE,,UBERON:0013755,,,,,,#VALUE!,,
CHLORIDE ARTERIAL,69,CHEBI:17996,,,TRUE,,UBERON:0013755,,,,,,#VALUE!,,
Chloride Ven,1,CHEBI:17996,,,TRUE,,UBERON:0013756,,,,,,#VALUE!,,
CHLORIDE VENOUS,1,CHEBI:17996,,,TRUE,,UBERON:0013756,,,,,,#VALUE!,,
"Chloride, Serum",2,CHEBI:17996,,,TRUE,,,,,,,,#VALUE!,,
.Chloride..,57,CHEBI:17996,,,TRUE,,,,,,,,#VALUE!,,
pH Art,355,,,,,,UBERON:0013755,,,,,,#VALUE!,,
PH ARTERIAL,92,,,,,,UBERON:0013755,,,,,,#VALUE!,,
PH ARTERIAL TEMP CORRECTED,68,,,,,,UBERON:0013755,,,,,,#VALUE!,,
Glu Art,167,CHEBI:17234,,,,,UBERON:0013755,,,,,,#VALUE!,,
pO2 Art,354,,,,,,UBERON:0013755,,,,,,#VALUE!,,
Hct Arterial,168,,,,,,UBERON:0013755,,,,,,#VALUE!,,
Hgb Arterial,168,,,,,,UBERON:0013755,,,,,,#VALUE!,,
PO2 ARTERIAL,92,,,,,,UBERON:0013755,,,,,,#VALUE!,,
PO2 ARTERIAL TEMP CORRECTED,68,,,,,,UBERON:0013755,,,,,,#VALUE!,,
PO2 ARTERIAL TEMPERATURE CORRECTED,11,,,,,,UBERON:0013755,,,,,,#VALUE!,,
pCO2 Art,355,,,,,,UBERON:0013755,,,,,,#VALUE!,,
HCO3 Art,350,,,,,,UBERON:0013755,,,,,,#VALUE!,,
FIO2 Art.,169,,,,,,UBERON:0013755,,,,,,#VALUE!,,
Temp Art,159,,,,,,UBERON:0013755,,,,,,#VALUE!,,
PCO2 ARTERIAL,92,,,,,,UBERON:0013755,,,,,,#VALUE!,,
PCO2 ARTERIAL TEMP CORRECTED,79,,,,,,UBERON:0013755,,,,,,#VALUE!,,
Ca Ion Art,167,,,,,,UBERON:0013755,,,,,,#VALUE!,,
pH (T) Arterial,159,,,,,,UBERON:0013755,,,,,,#VALUE!,,
% FIO2 ARTERIAL,70,,,,,,UBERON:0013755,,,,,,#VALUE!,,
O2 SAT ARTERIAL,36,,,,,,UBERON:0013755,,,,,,#VALUE!,,
GLUCOSE ARTERIAL,69,CHEBI:17234,,,,,UBERON:0013755,,,,,,#VALUE!,,
pO2 (T) Arterial,158,,,,,,UBERON:0013755,,,,,,#VALUE!,,
pCO2 (T) Arterial,159,,,,,,UBERON:0013755,,,,,,#VALUE!,,
O2Sat Meas Art,284,,,,,,UBERON:0013755,,,,,,#VALUE!,,
HEMATOCRIT ARTERIAL,70,,,,,,UBERON:0013755,,,,,,#VALUE!,,
HEMOGLOBIN ARTERIAL,70,,,,,,UBERON:0013755,,,,,,#VALUE!,,
Base Excess Art,355,,,,,,UBERON:0013755,,,,,,#VALUE!,,
Lactic Acid Art,164,,,,,,UBERON:0013755,,,,,,#VALUE!,,
BASE EXCESS ARTERIAL,92,,,,,,UBERON:0013755,,,,,,#VALUE!,,
BICARBONATE ARTERIAL,91,,,,,,UBERON:0013755,,,,,,#VALUE!,,
O2 Sat Meas Art,1,,,,,,UBERON:0013755,,,,,,#VALUE!,,
LEFT VERTEBRAL ARTERY SYSTOLE,24,,,,,,,,,,,,#VALUE!,,
CALCIUM IONIZED ARTERIAL,69,,,,,,UBERON:0013755,,,,,,#VALUE!,,
RIGHT VERTEBRAL ARTERY SYSTOLE,24,,,,,,,,,,,,#VALUE!,,
PTT (Activated Part Thromboplastin Time),1,,,,,,,,,,,,#VALUE!,,
BODY TEMPERATURE ARTERIAL,68,,,,,,UBERON:0013755,,,,,,#VALUE!,,
PH TEMP CORRECTED ARTERIAL,10,,,,,,UBERON:0013755,,,,,,#VALUE!,,
VENTRICULAR RATE,207,,,,,,,,,,,,#VALUE!,,
pH Ven,785,,,,,,UBERON:0013756,,,,,,#VALUE!,,
PH VEN,127,,,,,,UBERON:0013756,,,,,,#VALUE!,,
pO2 Ven,784,,,,,,UBERON:0013756,,,,,,#VALUE!,,
PO2 VENOUS,126,,,,,,UBERON:0013756,,,,,,#VALUE!,,
CO2 Venous.,2,,,,,,UBERON:0013756,,,,,,#VALUE!,,
Hct Ven,1,,,,,,UBERON:0013756,,,,,,#VALUE!,,
Hgb Ven,1,,,,,,UBERON:0013756,,,,,,#VALUE!,,
pCO2 Ven,784,,,,,,UBERON:0013756,,,,,,#VALUE!,,
HCO3 Ven,782,,,,,,UBERON:0013756,,,,,,#VALUE!,,
O2Hb Venous,684,,,,,,UBERON:0013756,,,,,,#VALUE!,,
PCO2 VENOUS,127,,,,,,UBERON:0013756,,,,,,#VALUE!,,
O2HB VENOUS,102,,,,,,UBERON:0013756,,,,,,#VALUE!,,
FiO2 Vented,81,,,,,,,,,,,,#VALUE!,,
RIGHT VENTRICULAR SYSTOLIC PRESSURE,13,,,,,,,,,,,,#VALUE!,,
WB GLU VENOUS,1,CHEBI:17234,,,,,UBERON:0013756,,,,,,#VALUE!,,
O2 Sat Ven,774,,,,,,UBERON:0013756,,,,,,#VALUE!,,
MetHgb Venous,288,,,,,,UBERON:0013756,,,,,,#VALUE!,,
O2 SAT VENOUS,120,,,,,,UBERON:0013756,,,,,,#VALUE!,,
LACTATE VENOUS,1,,,,,,UBERON:0013756,,,,,,#VALUE!,,
nrABL FIO2 Ven,686,,,,,,UBERON:0013756,,,,,,#VALUE!,,
CarboxyHgb Ven,646,,,,,,UBERON:0013756,,,,,,#VALUE!,,
nrABL Temp Ven,618,,,,,,UBERON:0013756,,,,,,#VALUE!,,
VSS DOSE GIVEN TO DATE,253,,,,,,,,,,,,#VALUE!,,
VCS DOSE GIVEN TO DATE,30,,,,,,,,,,,,#VALUE!,,
HEMATOCRIT VENOUS,1,,,,,,UBERON:0013756,,,,,,#VALUE!,,
HEMOGLOBIN VENOUS,1,,,,,,UBERON:0013756,,,,,,#VALUE!,,
Base Excess Ven,784,,,,,,UBERON:0013756,,,,,,#VALUE!,,
BASE EXCESS VENOUS,126,,,,,,UBERON:0013756,,,,,,#VALUE!,,
BICARBONATE VENOUS,124,,,,,,UBERON:0013756,,,,,,#VALUE!,,
Lactic Acid Ven,1,,,,,,UBERON:0013756,,,,,,#VALUE!,,
METHEMOGLOBIN VENOUS,47,,,,,,UBERON:0013756,,,,,,#VALUE!,,
Calcium Ionized Ven,1,,,,,,UBERON:0013756,,,,,,#VALUE!,,
CALCIUM IONIZED VENOUS,1,,,,,,UBERON:0013756,,,,,,#VALUE!,,
CARBOXYHEMOGLOBIN VENOUS,85,,,,,,UBERON:0013756,,,,,,#VALUE!,,
Total Bilirubin,21,,,,,,,,,,,,#VALUE!,,TRUE
Total BF,19,,,,,,,,,,,,#VALUE!,,TRUE
TOTAL CELLS COUNTED,10,,,,,,,,,,,,#VALUE!,,TRUE
TOTAL CELLS COUNTED FLUID,2,,,,,,,,,,,,#VALUE!,,TRUE
TOTAL DISTANCE(FT),2,,,,,,,,,,,,#VALUE!,,TRUE
Total Protein,2,,,,,,,,,,,,#VALUE!,,TRUE
Total Protein.,2,,,,,,,,,,,,#VALUE!,,TRUE
TOTAL RESTING TIME,2,,,,,,,,,,,,#VALUE!,,TRUE
TOTAL WALKING TIME,2,,,,,,,,,,,,#VALUE!,,TRUE
T3 Total,24,,,,,,,,,,,,#VALUE!,,TRUE
VSS TOTAL DOSE LIMIT,337,,,,,,,,,,,,#VALUE!,,TRUE
IgE Total,2,,,,,,,,,,,,#VALUE!,,TRUE
Free/Total PSA Ratio,1,,,,,,,,,,,,#VALUE!,,
Fluid Total,1,,,,,,,,,,,,#VALUE!,,TRUE
PROTEIN TOTAL UR,29,,,,,,,,,,,,#VALUE!,,TRUE
PROTEIN TOTAL,14,,,,,,,,,,,,#VALUE!,,TRUE
VitD 25OH Total,47,,,,,,,,,,,,#VALUE!,,TRUE
BILIRUBIN TOTAL,14,,,,,,,,,,,,#VALUE!,,TRUE
"TRIIODOTHYRONINE, TOTAL (TOTAL T3)",10,,,,,,,,,,,,#VALUE!,,TRUE
25 HYDROXY VITAMIN D TOTAL,10,,,,,,,,,,,,#VALUE!,,TRUE
PROSTATE SPECIFIC ANTIGEN TOTAL,23,,,,,,,,,,,,#VALUE!,,TRUE
.Direct Bilirubin,1,,,,,,,,,,TRUE,,#VALUE!,,
LDL Direct,1,,,,,,,,,,TRUE,,#VALUE!,,
BILIRUBIN DIRECT,80,,,,,,,,,TRUE,,,#VALUE!,,
Glucose Fasting,3,CHEBI:17234,,,,,,,,,,fasting,#VALUE!,,
GLUCOSE POINT OF CARE,450,CHEBI:17234,,,,,,,,,,,#VALUE!,TRUE,
"Glucose, CSF",1,CHEBI:17234,,,,,UBERON:0001359,,,,,,#VALUE!,,
Glucose Serum,2,CHEBI:17234,,,,,UBERON:0001977,,,,,,#VALUE!,,
Glucose,51,CHEBI:17234,,,,,,,,,,,#VALUE!,,
Glucose BF,8,,,,,,,,,,,,#VALUE!,,
GLU0,1,,,,,,,,,,,,#VALUE!,,
UA Glucose,40,CHEBI:17234,,,,,UBERON:0001088,,,,,,#VALUE!,,
Bet-D-Glucan,5,,,,,,,,,,,,#VALUE!,,
Gamma Glutamyl Transferase,1,,,,,,,,,,,,#VALUE!,,
POC Plasma Glucose.,39,CHEBI:17234,,,,,UBERON:0001969,,,,,,#VALUE!,TRUE,
FibroMeter Glucose,1,CHEBI:17234,,,,,,,,,,,#VALUE!,,
Troponin-I POC,37,,,,,,,,,,,,#VALUE!,TRUE,
TROPONIN I POC,10,,,,,,,,,,,,#VALUE!,TRUE,
Hgb,3096,,,,,,,,,,,,#VALUE!,,
Hct,3037,,,,,,,,,,,,#VALUE!,,
RDW,2961,,,,,,,,,,,,#VALUE!,,
WBC,2959,,,,,,,,,,,,#VALUE!,,
BUN,2444,,,,,,,,,,,,#VALUE!,,
nrH/H,2420,,,,,,,,,,,,#VALUE!,,
MCH,2361,,,,,,,,,,,,#VALUE!,,
RBC,2361,,,,,,,,,,,,#VALUE!,,
MCV,2359,,,,,,,,,,,,#VALUE!,,
MCHC,2358,,,,,,,,,,,,#VALUE!,,
Anion Gap,2327,,,,,,,,,,,,#VALUE!,,
Platelet,2295,,,,,,,,,,,,#VALUE!,,
nrIWBC,2283,,,,,,,,,,,,#VALUE!,,
INR,1632,,,,,,,,,,,,#VALUE!,,
PT,1538,,,,,,,,,,,,#VALUE!,,
ALT,1534,,,,,,,,,,,,#VALUE!,,
% Basophil Auto,1425,,,,,,,,,,,,#VALUE!,,
% Eos Auto,1425,,,,,,,,,,,,#VALUE!,,
% Lymph Auto,1425,,,,,,,,,,,,#VALUE!,,
% Mono Auto,1425,,,,,,,,,,,,#VALUE!,,
% Neutro Auto,1425,,,,,,,,,,,,#VALUE!,,
ABC.,1425,,,,,,,,,,,,#VALUE!,,
AEC,1425,,,,,,,,,,,,#VALUE!,,
ALC,1425,,,,,,,,,,,,#VALUE!,,
AMC,1425,,,,,,,,,,,,#VALUE!,,
ANC,1425,,,,,,,,,,,,#VALUE!,,
PTT,1420,,,,,,,,,,,,#VALUE!,,
Albumin Lvl,888,,,,,,,,,,,,#VALUE!,,
HEMOGLOBIN,779,,,,,,,,,,,,#VALUE!,,
HEMATOCRIT,773,,,,,,,,,,,,#VALUE!,,
UREA NITROGEN,700,,,,,,,,,,,,#VALUE!,,
MEAN CELLULAR VOLUME,663,,,,,,,,,,,,#VALUE!,,
PLATELETS,663,,,,,,,,,,,,#VALUE!,,
MEAN CELLULAR HEMOGLOBIN,661,,,,,,,,,,,,#VALUE!,,
MEAN CELLULAR HEMOGLOBIN CONCENTRATION,657,,,,,,,,,,,,#VALUE!,,
% BASOPHILS,542,,,,,,,,,,,,#VALUE!,,
% EOSINOPHILS,542,,,,,,,,,,,,#VALUE!,,
% LYMPHOCYTES,541,,,,,,,,,,,,#VALUE!,,
% MONOCYTES,541,,,,,,,,,,,,#VALUE!,,
% NEUTROPHILS,541,,,,,,,,,,,,#VALUE!,,
# LYMPHOCYTES,538,,,,,,,,,,,,#VALUE!,,
# MONOCYTES,537,,,,,,,,,,,,#VALUE!,,
# BASOPHILS,514,,,,,,,,,,,,#VALUE!,,
# EOSINOPHILS,513,,,,,,,,,,,,#VALUE!,,
# NEUTROPHILS,512,,,,,,,,,,,,#VALUE!,,
ALBUMIN,491,,,,,,,,,,,,#VALUE!,,
VSS FRACTIONS PRESCRIBED,337,,,,,,,,,,,,#VALUE!,,
VSS FRACTIONS TREATED,337,,,,,,,,,,,,#VALUE!,,
Bilirubin Dir,321,,,,,,,,,,,,#VALUE!,,
GFR-NAA,280,,,,,,,,,,,,#VALUE!,,
nr%NRBC,260,,,,,,,,,,,,#VALUE!,,
nrNRBC,257,,,,,,,,,,,,#VALUE!,,
ANION GAP,249,,,,,,,,,,,,#VALUE!,,
B cells,243,,,,,,,,,,,,#VALUE!,,
GFR-AA,241,,,,,,,,,,,,#VALUE!,,
Anti-D4,227,,,,,,,,,,,,#VALUE!,,
Anti-D5,227,,,,,,,,,,,,#VALUE!,,
Q-T INTERVAL,207,,,,,,,,,,,,#VALUE!,,
QRS DURATION,207,,,,,,,,,,,,#VALUE!,,
QTC CALCULATION(BEZET),207,,,,,,,,,,,,#VALUE!,,
R AXIS,207,,,,,,,,,,,,#VALUE!,,
T AXIS,207,,,,,,,,,,,,#VALUE!,,
ATRIAL RATE,205,,,,,,,,,,,,#VALUE!,,
A1 Cells,198,,,,,,,,,,,,#VALUE!,,
EGFR AFRICAN AMERICAN,185,,,,,,,,,,,,#VALUE!,,
EGFR NON-AFRICAN AMERICAN,184,,,,,,,,,,,,#VALUE!,,
UA pH,182,,,,,,,,,,,,#VALUE!,,
P AXIS,181,,,,,,,,,,,,#VALUE!,,
Seg Abs,181,,,,,,,,,,,,#VALUE!,,
Band Abs,180,,,,,,,,,,,,#VALUE!,,
Band Man,180,,,,,,,,,,,,#VALUE!,,
Basophil Abs,180,,,,,,,,,,,,#VALUE!,,
Basophil Man,180,,,,,,,,,,,,#VALUE!,,
Eos Abs,180,,,,,,,,,,,,#VALUE!,,
Eos Man,180,,,,,,,,,,,,#VALUE!,,
Lymph Abs,180,,,,,,,,,,,,#VALUE!,,
Lymph Man,180,,,,,,,,,,,,#VALUE!,,
Monocyte Abs,180,,,,,,,,,,,,#VALUE!,,
Monocyte Man,180,,,,,,,,,,,,#VALUE!,,
Segs Man,180,,,,,,,,,,,,#VALUE!,,
O2 Content,178,,,,,,,,,,,,#VALUE!,,
P-R INTERVAL,178,,,,,,,,,,,,#VALUE!,,
UA Spec Grav,178,,,,,,,,,,,,#VALUE!,,
O2 Hgb,174,,,,,,,,,,,,#VALUE!,,
A/G Ratio,156,,,,,,,,,,,,#VALUE!,,
Globulin,156,,,,,,,,,,,,#VALUE!,,
TSH,146,,,,,,,,,,,,#VALUE!,,
Anti-A,138,,,,,,,,,,,,#VALUE!,,
Carboxyhemo,134,,,,,,,,,,,,#VALUE!,,
NRBC Man,123,,,,,,,,,,,,#VALUE!,,
CHOLESTEROL CALCULATED LOW DENSITY LIPOPROTEIN,118,,,,,,,,,,,,#VALUE!,,
THYROID STIMULATING HORMONE,112,,,,,,,,,,,,#VALUE!,,
WBC Corr,109,,,,,,,,,,,,#VALUE!,,
CALCIUM IONIZED,105,,,,,,,,,,,,#VALUE!,,
Hgb A1c,101,,,,,,,,,,,,#VALUE!,,
LDH,99,,,,,,,,,,,,#VALUE!,,
ANC Manual,95,,,,,,,,,,,,#VALUE!,,
Anti-B,93,,,,,,,,,,,,#VALUE!,,
LyVar Abs,90,,,,,,,,,,,,#VALUE!,,
LyVar Man,90,,,,,,,,,,,,#VALUE!,,
Troponin-T,87,,,,,,,,,,,,#VALUE!,,
TACROLIMUS,86,,,,,,,,,,,,#VALUE!,,
LDL Chol (Calc.),79,,,,,,,,,,,,#VALUE!,,
UA PH,78,,,,,,,,,,,,#VALUE!,,
HEMOGLOBIN A1C,74,,,,,,,,,,,,#VALUE!,,
Transferrin,72,,,,,,,,,,,,#VALUE!,,
Lipase Lvl,71,,,,,,,,,,,,#VALUE!,,
O2 CT,71,,,,,,,,,,,,#VALUE!,,
OXY HEMOGLOBIN(CC QC,71,,,,,,,,,,,,#VALUE!,,
UA SPECIFIC GRAVITY,69,,,,,,,,,,,,#VALUE!,,
CO2 Content,67,,,,,,,,,,,,#VALUE!,,
Hematocrit (HCT),66,,,,,,,,,,,,#VALUE!,,
Hemoglobin,66,,,,,,,,,,,,#VALUE!,,
Platelet Count (PLT),65,,,,,,,,,,,,#VALUE!,,
RDW.,65,,,,,,,,,,,,#VALUE!,,
UA Protein,65,,,,,,,,,,,,#VALUE!,,
WBC (CBC),65,,,,,,,,,,,,#VALUE!,,
Cells Counted,61,,,,,,,,,,,,#VALUE!,,
Fibrinogen,59,,,,,,,,,,,,#VALUE!,,
LV RELATIVE WALL THICKNESS,56,,,,,,,,,,,,#VALUE!,,
Methemoglob Qn,55,,,,,,,,,,,,#VALUE!,,
NT-proBNP,54,,,,,,,,,,,,#VALUE!,,
Transferrin Sat,52,,,,,,,,,,,,#VALUE!,,
LV DIASTOLIC DIAMETER PLAX,50,,,,,,,,,,,,#VALUE!,,
LVPW DIASTOLIC THICKNESS,50,,,,,,,,,,,,#VALUE!,,
Tidal Volume,50,,,,,,,,,,,,#VALUE!,,
IVS DIASTOLIC THICKNESS,49,,,,,,,,,,,,#VALUE!,,
LACTATE DEHYDROGENASE,49,,,,,,,,,,,,#VALUE!,,
LV SYSTOLIC DIAMETER PLAX,49,,,,,,,,,,,,#VALUE!,,
Megakaryocyte,49,,,,,,,,,,,,#VALUE!,,
ALBUMIN GLOBULIN RATIO,48,,,,,,,,,,,,#VALUE!,,
CARBOXYHEMOGLOBIN,48,,,,,,,,,,,,#VALUE!,,
GLOBULIN,48,,,,,,,,,,,,#VALUE!,,
FEV1 PRE ACTUAL,47,,,,,,,,,,,,#VALUE!,,
FVC PRE % PRED,47,,,,,,,,,,,,#VALUE!,,
FVC PRE ACTUAL,47,,,,,,,,,,,,#VALUE!,,
# BAND NEUTROPHILS,46,,,,,,,,,,,,#VALUE!,,
FEV1/FVC PRE ACTUAL,46,,,,,,,,,,,,#VALUE!,,
Non-HDL Cholesterol,46,,,,,,,,,,,,#VALUE!,,
# LYMPHOCYTES MANUAL,45,,,,,,,,,,,,#VALUE!,,
# MONOCYTES MANUAL,45,,,,,,,,,,,,#VALUE!,,
# NEUTROPHILS MANUAL,45,,,,,,,,,,,,#VALUE!,,
FEF25-75 PRE % PRED,45,,,,,,,,,,,,#VALUE!,,
FEF25-75 PRE ACTUAL,45,,,,,,,,,,,,#VALUE!,,
FEV1 PRE % PRED,45,,,,,,,,,,,,#VALUE!,,
% EOSINOPHILS MANUAL,44,,,,,,,,,,,,#VALUE!,,
% LYMPHOCYTES MANUAL,44,,,,,,,,,,,,#VALUE!,,
% MONOCYTES MANUAL,44,,,,,,,,,,,,#VALUE!,,
% NEUTROPHILS MANUAL,44,,,,,,,,,,,,#VALUE!,,
AORTIC ROOT DIAMETER,44,,,,,,,,,,,,#VALUE!,,
UPRO mg per dL,44,,,,,,,,,,,,#VALUE!,,
(PC).CD3.0 (% Lymphocytes),42,,,,,,,,,,,,#VALUE!,,
(PC).CD3.0 (Abs Count),42,,,,,,,,,,,,#VALUE!,,
% BASOPHILS MANUAL,41,,,,,,,,,,,,#VALUE!,,
SC 1,41,,,,,,,,,,,,#VALUE!,,
SC 2,41,,,,,,,,,,,,#VALUE!,,
(AA).CD4.0 (% Lymphocytes),40,,,,,,,,,,,,#VALUE!,,
(AA).CD4.0 (Abs Count),40,,,,,,,,,,,,#VALUE!,,
(AA).CD8A.0 (% Lymphocytes),40,,,,,,,,,,,,#VALUE!,,
(AA).CD8A.0 (Abs Count),40,,,,,,,,,,,,#VALUE!,,
% BAND NEUTROPHILS,40,,,,,,,,,,,,#VALUE!,,
AST,40,,,,,,,,,,,,#VALUE!,,
CD4/CD8 Ratio (CD4/CD8 Ratio),40,,,,,,,,,,,,#VALUE!,,
PTH Intact,40,,,,,,,,,,,,#VALUE!,,
TROPONIN T,40,,,,,,,,,,,,#VALUE!,,
# BASOPHILS MANUAL,39,,,,,,,,,,,,#VALUE!,,
# EOSINOPHILS MANUAL,39,,,,,,,,,,,,#VALUE!,,
FTI,39,,,,,,,,,,,,#VALUE!,,
VCS FRACTIONS TREATED,39,,,,,,,,,,,,#VALUE!,,
VCS TREATMENT DAYS,39,,,,,,,,,,,,#VALUE!,,
ESTIMATED LV EJECTION FRACTION,37,,,,,,,,,,,,#VALUE!,,
AHG,36,,,,,,,,,,,,#VALUE!,,
Quantity,36,,,,,,,,,,,,#VALUE!,,
RhCon,35,,,,,,,,,,,,#VALUE!,,
WBC CORRECTED,35,,,,,,,,,,,,#VALUE!,,
Basophils %,33,,,,,,,,,,,,#VALUE!,,
Eosinophils %,33,,,,,,,,,,,,#VALUE!,,
Lymph %,33,,,,,,,,,,,,#VALUE!,,
Monocytes %,33,,,,,,,,,,,,#VALUE!,,
Neutrophils %,33,,,,,,,,,,,,#VALUE!,,
SC 3,33,,,,,,,,,,,,#VALUE!,,
UA Urobilinogen,33,,,,,,,,,,,,#VALUE!,,
UROBILINOGEN,33,,,,,,,,,,,,#VALUE!,,
# LYMPHOCYTES ATYPICAL,32,,,,,,,,,,,,#VALUE!,,
% CD3,32,,,,,,,,,,,,#VALUE!,,
% CD8,32,,,,,,,,,,,,#VALUE!,,
ABSOLUTE CD3,32,,,,,,,,,,,,#VALUE!,,
ABSOLUTE CD4,32,,,,,,,,,,,,#VALUE!,,
ABSOLUTE CD8,32,,,,,,,,,,,,#VALUE!,,
CD4CD8 RATIO,32,,,,,,,,,,,,#VALUE!,,
HELPER CELLS,32,,,,,,,,,,,,#VALUE!,,
NUCLEATED RBC PERCENT,32,,,,,,,,,,,,#VALUE!,,
hsCRP,30,,,,,,,,,,,,#VALUE!,,
O2 Sat Measured,29,,,,,,,,,,,,#VALUE!,,
pCO2 (T),29,,,,,,,,,,,,#VALUE!,,
pH (T),29,,,,,,,,,,,,#VALUE!,,
pO2 (T),29,,,,,,,,,,,,#VALUE!,,
Body Temp,28,,,,,,,,,,,,#VALUE!,,
Sed Rate,28,,,,,,,,,,,,#VALUE!,,
TUptake,28,,,,,,,,,,,,#VALUE!,,
Myelo Man,27,,,,,,,,,,,,#VALUE!,,
% LYMPHOCYTES ATYPICAL,26,,,,,,,,,,,,#VALUE!,,
T4 Free,26,,,,,,,,,,,,#VALUE!,,
CALCULATED GRANULOCYTES,25,,,,,,,,,,,,#VALUE!,,
HIV-1.(ssRNA) (Copies/mL),25,,,,,,,,,,,,#VALUE!,,
Vanco Tr,25,,,,,,,,,,,,#VALUE!,,
