PK_ORDER_ITEM_ID,count,assembled,cbc.bool,platelet.bool,diff.bool,electronic.diff.bool,automated.bool,manual.bool,blood.gas.bool,abl90.bool,gem.bool,arterial.bool,venous.bool,vented.bool,whole.blood.bool,hematocrit.bool,electrolyes.bool,ekg.bool,electrophoresis.bool,reticulocyte.bool,count.bool,bmp.bool,cmp.bool,hemaglobin.bool,hemoglobin.bool,coox.bool,a1c.bool,vitamin.bool,urine.bool,protime.bool,ptt.bool,protein.bool,crp.bool,cardiac.bool,neonatal.bool,liver.bool,fibrinogen.bool,glucose.bool,gtt.bool,csf.bool,fasting.bool,antibody.bool,bodily.fluid.bool,plasma.bool,serum.bool,poc.bool,phosphorous.bool,ph.bool,osmolarity.bool,creatinine.bool,ck.bool,twentyfour.bool,bilirubin.bool,total.bool,free.bool,direct.bool,indirect.bool,abo.bool,gfr.bool,level.bool,confirm.bool,screen.bool,reflex.bool,estimated.bool,lipid.bool,peak.bool,trough.bool,random.bool,cholesterol.bool,any.dl.bool,pulm.test.bool,spiro.bool,ORDER_ITEM_CODE,ORDER_ITEM_DESCRIPTION,ORDER_ITEM_TYPE,ORDER_ITEM_PRIMARY_TYPE,ORDER_ITEM_PRIMARY_TYPE_NONSTD
608934,18,"blood gas, venous",,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venous Blood Gas,LEAN Venous Blood Gas.,Lab LEAN Collect RN,LABORATORY,Diagnostic
981955,16,Electrolytes,,,,,,,?,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_ABG/Lytes Rals PAH,_ABG/Lytes Rals,General Lab,LABORATORY,Laboratory
1053114,16,Electrolytes,,,,,,,?,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C7012001,ABG/LYTES RALS PAH,LABORATORY,LABORATORY,Lab
600726,4,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0400470,HBO (BLOOD GAS - LIO ONLY),LABORATORY,LABORATORY,Lab
1096599,3559,"blood gas, arterial",,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABL90 ART,ABL90 Arterial Panel,General Lab,LABORATORY,Laboratory
1096585,1455,"blood gas, arterial",,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABL90ART,ABL90 ARTERIAL PANEL,LABORATORY,LABORATORY,Lab
1096760,12362,"blood gas, venous",,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABL90 VEN,ABL90 Venous Panel,General Lab,LABORATORY,Laboratory
1096596,1569,"blood gas, venous",,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABL90VEN,ABL90 VENOUS PANEL,LABORATORY,LABORATORY,Lab
1115246,296,"blood gas, arterial",,,,,,,,,1,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEM4ART,GEM4ART,General Lab,LABORATORY,Laboratory
1116776,36,"blood gas, arterial",,,,,,,,,1,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEM4ART,GEM4ART,LABORATORY,LABORATORY,Lab
1115239,108,"blood gas, venous",,,,,,,,,1,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEM4VEN,GEM4VEN,General Lab,LABORATORY,Laboratory
1116854,90,"blood gas, venous",,,,,,,,,1,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEM4VEN,GEM4VEN,LABORATORY,LABORATORY,Lab
1115241,102,blood gas by co-oximetry,,,,,,,,,1,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEM4000 ANLCOOX,GEM4000 ANLCOOX,General Lab,LABORATORY,Laboratory
1116759,51,blood gas by co-oximetry,,,,,,,,,1,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEM4ANLACOOX,GEM4ANLACOOX,LABORATORY,LABORATORY,Lab
603697,335,"Echo heart xthoracic, complete",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93306,"ECHO HEART XTHORACIC,COMPLETE W DOPPLER",CARDIOLOGY,CARDIOLOGY PROCEDURES,Cardiology Procedures
1141809,21,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMGPT0011,PT HEART PERFUSION PHARMACOLOGIC STRESS PET MULTIPLE,IMG PET ORDERABLES,IMAGING,Imaging
1223794,14,"Echo heart xthoracic, limited",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROC4681,"ECHO HEART XTHORACIC,LIMITED",CARDIOLOGY,CARDIOLOGY PROCEDURES,Cardiology Procedures
593558,4,Aspartate aminotransferase,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1000140,ASPARTATE AMINOTRANSFERASE,LAB BLOOD ORDERABLES,LABORATORY,Lab
586053,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93925,DUPLEX LO EXTREM ART BILAT,RADIOLOGY CPT CODES,IMAGING,Imaging
978195,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRVV,Dilute Russells Viper Venom,General Lab,LABORATORY,Laboratory
603661,6,"Glucose, whole blood",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0500305,GLUCOSE - WHOLE BLOOD,LAB BLOOD ORDERABLES,LABORATORY,Lab
615289,1,"Glucose, whole blood",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glucose (Whole Blood),LEAN Glucose (Whole Blood),Lab LEAN Collect RN,LABORATORY,Diagnostic
977707,2,"Creatinine, whole blood",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"Creatinine, Whole Blood","Creatinine, Whole Blood",General Lab,LABORATORY,Laboratory
979678,1,"Creatinine, whole blood",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"Creatinine, Whole Blood",NCRE,General Lab,LABORATORY,Laboratory
1061481,15,"Lactic acid, whole blood",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0500296,"LACTIC ACID, WHOLE BLOOD",LAB BLOOD ORDERABLES,LABORATORY,Lab
978338,28,Hematocrit,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHT,Hematocrit  (CC Lab),General Lab,LABORATORY,Laboratory
600781,3,Hematocrit,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0500255,HEMATOCRIT CRITICAL CARE,LABORATORY,LABORATORY,Lab
620104,1,Hematocrit,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hematocrit (CC Lab),MCODES_Hematocrit (CC Lab),Lab HUP/PPMC/PAH,LABORATORY,Diagnostic
979508,24,"Electrolytes, urine, random",,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,URLYTES,Random Urine Electrolytes,General Lab,LABORATORY,Laboratory
594061,4,Electrolytes,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,C1000445,"ELECTROLYTES (SODIUM & POTASSIUM), RANDOM URINE",LAB URINE ORDERABLES,LABORATORY,Lab
978589,2,"Electrolytes, bodily fluid",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BFLYTES,FLLYTES,General Lab,LABORATORY,Laboratory
618384,16,Electrolytes,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrolyte Panel 7,Electrolyte Panel 7 PAH,Lab PAH Times,DIAGNOSTIC,Diagnostic
980014,12,Electrolytes,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,URLYTES,RULYTES,General Lab,LABORATORY,Laboratory
586071,3,EKG,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,93224,XTRNL ECG & 24/48 HR RECORD SCAN STOR W/R&I,CARDIOLOGY,CARDIOLOGY PROCEDURES,Cardiology Procedures
585923,961,EKG,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93000,"ELECTROCARDIOGRAM, COMPLETE",CARDIOLOGY,CARDIOLOGY PROCEDURES,Cardiology Procedures
1225425,769,EKG,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROC4699,"ELECTROCARDIOGRAM, COMPLETE",CARDIOLOGY,CARDIOLOGY PROCEDURES,Cardiology Procedures
604149,76,EKG,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93000W,"ELECTROCARDIOGRAM, OFFICE",CARDIOLOGY,CARDIOLOGY PROCEDURES,Cardiology Procedures
595319,3,"Electrophoresis, protein, urine",,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1001114,URINE PROTEIN ELECTROPHORESIS,LAB URINE ORDERABLES,LABORATORY,Lab
598962,23,"Electrophoresis, protein, serum",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1001200,SERUM PROTEIN ELECTROPHORESIS,LAB BLOOD ORDERABLES,LABORATORY,Lab
981642,81,"Electrophoresis, protein",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_SPEP,_Protein Electrophoresis,General Lab,LABORATORY,Laboratory
979951,5,Reticulocytes,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zzRETIC,zzReticulocyte Count,General Lab,LABORATORY,Laboratory
593565,3,Reticulocytes,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2000460,RETICULOCYTE COUNT,LAB BLOOD ORDERABLES,LABORATORY,Lab
1122963,2,Reticulocytes,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETIC,Reticulocyte Count,General Lab,LABORATORY,NA
1122961,5,Reticulocytes,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETIC,Retic,General Lab,LABORATORY,NA
1122939,2,Reticulocytes,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETIC,RET,General Lab,LABORATORY,NA
1054854,6,"Cell count, CSF",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CFCELL4,Cell Count CSF Tube #4,General Lab,LABORATORY,Laboratory
1028139,3,"Cell count, CSF",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CFCELL1,Cell Count CSF1,General Lab,LABORATORY,Laboratory
977737,51,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BFCELL#,Cell Count Body Fluid,General Lab,LABORATORY,NA
