PartNumber,PartDisplayName,label.axiom,text.for.label,pure.obo,single.term,iris,PartTypeName,Status,note,o
LP16012-4,2-Oxoisocaproate,'4-methyl-2-oxopentanoate',4-methyl-2-oxopentanoate,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_17865,COMPONENT,ACTIVE,NA,4-methyl-2-oxopentanoate
LP15872-2,Succinylacetone,"'4,6-dioxoheptanoic acid'","4,6-dioxoheptanoic acid",TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_87897,COMPONENT,ACTIVE,NA,"4,6-dioxoheptanoic acid"
LP15153-7,Delta aminolevulinate,'5-aminolevulinate',5-aminolevulinate,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_12109,COMPONENT,ACTIVE,NA,5-aminolevulinate
LP14980-4,6-Monoacetylmorphine,'6-Acetylmorphine',6-Acetylmorphine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_2168,COMPONENT,ACTIVE,NA,6-Acetylmorphine
LP28541-8,7-Aminoclonazepam,'7-Aminoclonazepam',7-Aminoclonazepam,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_143344,COMPONENT,ACTIVE,NA,7-Aminoclonazepam
LP15309-5,8-Hydroxyamoxapine,'8-Hydroxyamoxapine',8-Hydroxyamoxapine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_143289,COMPONENT,ACTIVE,NA,8-Hydroxyamoxapine
LP14798-0,Acanthamoeba sp,'Acanthamoeba sp.',Acanthamoeba sp.,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_5756,COMPONENT,ACTIVE,NA,Acanthamoeba sp.
LP13918-5,Boxelder (Acer negundo),'Acer negundo',Acer negundo,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_4023,COMPONENT,ACTIVE,NA,Acer negundo
LP16018-1,Acetazolamide,'acetazolamide',acetazolamide,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_27690,COMPONENT,ACTIVE,NA,acetazolamide
LP15312-9,Acetoacetate,'acetoacetate',acetoacetate,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_13705,COMPONENT,ACTIVE,NA,acetoacetate
LP17249-1,Acetohexamide,'acetohexamide',acetohexamide,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_28052,COMPONENT,ACTIVE,NA,acetohexamide
LP16798-8,Acetone,'acetone',acetone,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_15347,COMPONENT,ACTIVE,NA,acetone
LP15019-0,Acetylcholine receptor binding,'acetylcholine receptor binding',acetylcholine receptor binding,TRUE,TRUE,http://purl.obolibrary.org/obo/GO_0033130,COMPONENT,ACTIVE,NA,acetylcholine receptor binding
LP15315-2,Acetylcholinesterase,'acetylcholinesterase',acetylcholinesterase,TRUE,TRUE,http://purl.obolibrary.org/obo/PR_000003626,COMPONENT,ACTIVE,NA,acetylcholinesterase
LP14522-4,Acyclovir,'acyclovir',acyclovir,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_2453,COMPONENT,ACTIVE,NA,acyclovir
LP173592-9,Adalimumab,'adalimumab',adalimumab,TRUE,TRUE,http://purl.obolibrary.org/obo/DRON_00018971,COMPONENT,ACTIVE,NA,adalimumab
LP15323-6,Adenosine deaminase,'adenosine deaminase',adenosine deaminase,TRUE,TRUE,http://purl.obolibrary.org/obo/PR_000003707,COMPONENT,ACTIVE,NA,adenosine deaminase
LP15027-3,EPINEPHrine,'adrenaline',adrenaline,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_33568,COMPONENT,ACTIVE,NA,adrenaline
LP28815-6,Age,'age',age,TRUE,TRUE,http://purl.obolibrary.org/obo/PATO_0000011,COMPONENT,ACTIVE,NA,age
LP17427-3,Red top grass (Agrostis stolonifera),'Agrostis stolonifera',Agrostis stolonifera,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_63632,COMPONENT,ACTIVE,NA,Agrostis stolonifera
LP15331-9,Alanine,'alanine',alanine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_16449,COMPONENT,ACTIVE,NA,alanine
LP13941-7,Egg white,'albumen',albumen,TRUE,TRUE,http://purl.obolibrary.org/obo/UBERON_0008944,COMPONENT,ACTIVE,NA,albumen
LP14377-3,Aldosterone,'aldosterone',aldosterone,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_27584,COMPONENT,ACTIVE,NA,aldosterone
LP15346-7,Alkaline phosphatase,'alkaline phosphatase',alkaline phosphatase,TRUE,TRUE,http://purl.obolibrary.org/obo/PR_000023540,COMPONENT,ACTIVE,NA,alkaline phosphatase
LP33075-0,Homo-gamma Linolenate (C20:3w6),"'all-cis-icosa-8,11,14-trienoate'","all-cis-icosa-8,11,14-trienoate",TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_71589,COMPONENT,ACTIVE,NA,"all-cis-icosa-8,11,14-trienoate"
LP16980-2,Garlic (Allium sativum),'Allium sativum',Allium sativum,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_4682,COMPONENT,ACTIVE,NA,Allium sativum
LP14333-6,Alloisoleucine,'alloisoleucine',alloisoleucine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_22359,COMPONENT,ACTIVE,NA,alloisoleucine
LP17988-4,Allopurinol,'allopurinol',allopurinol,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_40279,COMPONENT,ACTIVE,NA,allopurinol
LP18483-5,Oxipurinol,'alloxanthine',alloxanthine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_28315,COMPONENT,ACTIVE,NA,alloxanthine
LP18758-0,Grey Alder (Alnus incana),'Alnus incana',Alnus incana,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_3516,COMPONENT,ACTIVE,NA,Alnus incana
LP14643-8,Alpha 1 antitrypsin,'alpha-1-antitrypsin',alpha-1-antitrypsin,TRUE,TRUE,http://purl.obolibrary.org/obo/PR_000014678,COMPONENT,ACTIVE,NA,alpha-1-antitrypsin
LP15377-2,Alpha-2-Macroglobulin,'alpha-2-macroglobulin',alpha-2-macroglobulin,TRUE,TRUE,http://purl.obolibrary.org/obo/PR_000024845,COMPONENT,ACTIVE,NA,alpha-2-macroglobulin
LP15353-3,Alpha aminobutyrate,'alpha-aminobutyrate',alpha-aminobutyrate,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_86508,COMPONENT,ACTIVE,NA,alpha-aminobutyrate
LP21169-5,Carotene.alpha,'alpha-carotene',alpha-carotene,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_28425,COMPONENT,ACTIVE,NA,alpha-carotene
LP14331-0,Alpha-1-Fetoprotein,'alpha-fetoprotein',alpha-fetoprotein,TRUE,TRUE,http://purl.obolibrary.org/obo/PR_000003809,COMPONENT,ACTIVE,NA,alpha-fetoprotein
LP14012-6,Alpha galactosidase A,'alpha-galactosidase A',alpha-galactosidase A,TRUE,TRUE,http://purl.obolibrary.org/obo/PR_000008015,COMPONENT,ACTIVE,NA,alpha-galactosidase A
LP33071-9,Alpha linolenate (C18:3w3),'alpha-linolenate',alpha-linolenate,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_32387,COMPONENT,ACTIVE,NA,alpha-linolenate
LP15369-9,Alpha tocopherol,'alpha-tocopherol',alpha-tocopherol,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_22470,COMPONENT,ACTIVE,NA,alpha-tocopherol
LP14981-2,ALPRAZolam,'alprazolam',alprazolam,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_2611,COMPONENT,ACTIVE,NA,alprazolam
LP13946-6,Alternaria alternata,'Alternaria alternata',Alternaria alternata,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_5599,COMPONENT,ACTIVE,NA,Alternaria alternata
LP16800-2,Aluminum,'aluminium atom',aluminium atom,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_28984,COMPONENT,ACTIVE,NA,aluminium atom
LP14203-1,Giant Ragweed (Ambrosia trifida),'Ambrosia trifida',Ambrosia trifida,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_4214,COMPONENT,ACTIVE,NA,Ambrosia trifida
LP15005-9,Amikacin,'amikacin',amikacin,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_2637,COMPONENT,ACTIVE,NA,amikacin
LP18033-8,Amino acids,'amino acid',amino acid,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_33709,COMPONENT,ACTIVE,NA,amino acid
LP16028-0,Amiodarone,'amiodarone',amiodarone,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_2663,COMPONENT,ACTIVE,NA,amiodarone
LP14983-8,Amitriptyline,'amitriptyline',amitriptyline,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_2666,COMPONENT,ACTIVE,NA,amitriptyline
LP14071-2,Ammonia,'ammonia',ammonia,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_16134,COMPONENT,ACTIVE,NA,ammonia
LP7000-5,Amniotic fluid,'amniotic fluid specimen',amniotic fluid specimen,TRUE,TRUE,http://purl.obolibrary.org/obo/OBI_0002500,SYSTEM,ACTIVE,NA,amniotic fluid specimen
LP15163-6,Amobarbital,'amobarbital',amobarbital,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_2673,COMPONENT,ACTIVE,NA,amobarbital
LP16032-2,Amoxapine,'amoxapine',amoxapine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_2675,COMPONENT,ACTIVE,NA,amoxapine
LP18868-7,Amphetamine,'amphetamine',amphetamine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_2679,COMPONENT,ACTIVE,NA,amphetamine
LP16034-8,Amphetamines,'amphetamines',amphetamines,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_35338,COMPONENT,ACTIVE,NA,amphetamines
LP15762-5,Ampicillin,'ampicillin',ampicillin,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_28971,COMPONENT,ACTIVE,NA,ampicillin
LP31704-7,Anabasine,'anabasine',anabasine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_28986,COMPONENT,ACTIVE,NA,anabasine
LP17175-8,Cashew nut (Anacardium occidentale),'Anacardium occidentale',Anacardium occidentale,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_171929,COMPONENT,ACTIVE,NA,Anacardium occidentale
LP17117-0,Anaplasma phagocytophilum,'Anaplasma phagocytophilum',Anaplasma phagocytophilum,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_948,COMPONENT,ACTIVE,NA,Anaplasma phagocytophilum
LP15387-1,Angiotensin converting enzyme,'angiotensin-converting enzyme',angiotensin-converting enzyme,TRUE,TRUE,http://purl.obolibrary.org/obo/PR_000001322,COMPONENT,ACTIVE,NA,angiotensin-converting enzyme
LP17274-9,Anisocytosis,'Anisocytosis',Anisocytosis,TRUE,TRUE,http://purl.obolibrary.org/obo/HP_0011273,COMPONENT,ACTIVE,NA,Anisocytosis
LP15393-9,Anserine,'anserine',anserine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_18323,COMPONENT,ACTIVE,NA,anserine
LP14009-2,Sweet Vernal grass (Anthoxanthum odoratum),'Anthoxanthum odoratum',Anthoxanthum odoratum,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_29661,COMPONENT,ACTIVE,NA,Anthoxanthum odoratum
LP17179-0,Honey bee (Apis mellifera),'Apis mellifera',Apis mellifera,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_7460,COMPONENT,ACTIVE,NA,Apis mellifera
LP16943-0,Celery (Apium graveolens),'Apium graveolens',Apium graveolens,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_4045,COMPONENT,ACTIVE,NA,Apium graveolens
LP19650-8,APOE gene,'APOE',APOE,TRUE,TRUE,http://purl.obolibrary.org/obo/OGG_3000000348,COMPONENT,ACTIVE,NA,APOE
LP15395-4,Apolipoprotein A-I,'apolipoprotein A-I',apolipoprotein A-I,TRUE,TRUE,http://purl.obolibrary.org/obo/PR_000004140,COMPONENT,ACTIVE,NA,apolipoprotein A-I
LP15397-0,Apolipoprotein B-100,'apolipoprotein B-100',apolipoprotein B-100,TRUE,TRUE,http://purl.obolibrary.org/obo/PR_000004145,COMPONENT,ACTIVE,NA,apolipoprotein B-100
LP15414-3,Arachidonate (C20:4w6),'arachidonate',arachidonate,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_32395,COMPONENT,ACTIVE,NA,arachidonate
LP13943-3,Peanut (Arachis hypogaea),'Arachis hypogaea',Arachis hypogaea,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_3818,COMPONENT,ACTIVE,NA,Arachis hypogaea
LP15416-8,Arginine,'arginine',arginine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_29016,COMPONENT,ACTIVE,NA,arginine
LP16802-8,Arsenic,'arsenic atom',arsenic atom,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_27563,COMPONENT,ACTIVE,NA,arsenic atom
LP17099-0,Wormwood (Artemisia absinthium),'Artemisia absinthium',Artemisia absinthium,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_72332,COMPONENT,ACTIVE,NA,Artemisia absinthium
LP13926-8,Mugwort (Artemisia vulgaris),'Artemisia vulgaris',Artemisia vulgaris,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_4220,COMPONENT,ACTIVE,NA,Artemisia vulgaris
LP7067-4,Blood arterial,'arterial blood specimen',arterial blood specimen,FALSE,TRUE,http://transformunify.org/ontologies/TURBO_0000751,SYSTEM,ACTIVE,NA,arterial blood specimen
LP15254-3,Ascorbate,'ascorbate',ascorbate,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_22651,COMPONENT,ACTIVE,NA,ascorbate
LP19503-9,ASPA gene,'ASPA',ASPA,TRUE,TRUE,http://purl.obolibrary.org/obo/OGG_3000000443,COMPONENT,ACTIVE,NA,ASPA
LP15424-2,Asparagine,'asparagine',asparagine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_22653,COMPONENT,ACTIVE,NA,asparagine
LP15426-7,Aspartate aminotransferase,'aspartate aminotransferase',aspartate aminotransferase,TRUE,TRUE,http://purl.obolibrary.org/obo/PR_000022172,COMPONENT,ACTIVE,NA,aspartate aminotransferase
LP15425-9,Aspartate,'aspartate',aspartate,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_132943,COMPONENT,ACTIVE,NA,aspartate
LP14169-4,Aspergillus flavus,'Aspergillus flavus',Aspergillus flavus,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_5059,COMPONENT,ACTIVE,NA,Aspergillus flavus
LP13947-4,Aspergillus fumigatus,'Aspergillus fumigatus',Aspergillus fumigatus,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_746128,COMPONENT,ACTIVE,NA,Aspergillus fumigatus
LP14170-2,Aspergillus niger,'Aspergillus niger',Aspergillus niger,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_5061,COMPONENT,ACTIVE,NA,Aspergillus niger
LP14075-3,Aspergillus sp,'Aspergillus sp.',Aspergillus sp.,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_5065,COMPONENT,ACTIVE,NA,Aspergillus sp.
LP19656-5,ATP7B gene,'ATP7B',ATP7B,TRUE,TRUE,http://purl.obolibrary.org/obo/OGG_3000000540,COMPONENT,ACTIVE,NA,ATP7B
LP16917-4,Aureobasidium pullulans,'Aureobasidium pullulans',Aureobasidium pullulans,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_5580,COMPONENT,ACTIVE,NA,Aureobasidium pullulans
LP13982-1,Oat (Avena sativa),'Avena sativa',Avena sativa,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_4498,COMPONENT,ACTIVE,NA,Avena sativa
LP14555-4,Babesia microti,'Babesia microti',Babesia microti,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_5868,COMPONENT,ACTIVE,NA,Babesia microti
LP14082-9,Bacteria,'Bacteria',Bacteria,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_2,COMPONENT,ACTIVE,NA,Bacteria
LP14546-3,Barbiturates,'barbiturates',barbiturates,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_22693,COMPONENT,ACTIVE,NA,barbiturates
LP14083-7,Bartonella henselae,'Bartonella henselae',Bartonella henselae,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_38323,COMPONENT,ACTIVE,NA,Bartonella henselae
LP14387-2,Bartonella quintana,'Bartonella quintana',Bartonella quintana,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_803,COMPONENT,ACTIVE,NA,Bartonella quintana
LP14903-6,Basement membrane,'basement membrane',basement membrane,TRUE,TRUE,http://purl.obolibrary.org/obo/GO_0005604,COMPONENT,ACTIVE,NA,basement membrane
LP14328-6,Basophils,'basophil',basophil,TRUE,TRUE,http://purl.obolibrary.org/obo/CL_0000767,COMPONENT,ACTIVE,NA,basophil
LP35865-2,Beclomethasone dipropionate,'beclomethasone dipropionate',beclomethasone dipropionate,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_3002,COMPONENT,ACTIVE,NA,beclomethasone dipropionate
LP15014-1,Benzodiazepines,'benzodiazepine',benzodiazepine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_22720,COMPONENT,ACTIVE,NA,benzodiazepine
LP16049-6,Benzthiazide,'benzthiazide',benzthiazide,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_3047,COMPONENT,ACTIVE,NA,benzthiazide
LP16931-5,Brazil Nut (Bertholletia excelsa),'Bertholletia excelsa',Bertholletia excelsa,TRUE,TRUE,http://purl.obolibrary.org/obo/NCBITaxon_3645,COMPONENT,ACTIVE,NA,Bertholletia excelsa
LP18861-2,Beta 2 glycoprotein 1,'beta-2-glycoprotein 1',beta-2-glycoprotein 1,TRUE,TRUE,http://purl.obolibrary.org/obo/PR_000004157,COMPONENT,ACTIVE,NA,beta-2-glycoprotein 1
LP14907-7,Beta-2-Microglobulin,'beta-2-microglobulin',beta-2-microglobulin,TRUE,TRUE,http://purl.obolibrary.org/obo/PR_000004580,COMPONENT,ACTIVE,NA,beta-2-microglobulin
